shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
L1V1,-4.49421181,36.71883746,1
L1V1,-4.48529264,36.71756824,2
L1V1,-4.47753123,36.71647712,3
L1V1,-4.47704007,36.71643921,4
L1V1,-4.47663131,36.71645075,5
L1V1,-4.47612037,36.71652657,6
L1V1,-4.46749036,36.71771987,7
L1V1,-4.46695964,36.71776932,8
L1V1,-4.46581908,36.71775943,9
L1V1,-4.46541032,36.71781217,10
L1V1,-4.46270726,36.71819126,11
L1V1,-4.46134255,36.71836267,12
L1V1,-4.46068986,36.7184286,13
L1V1,-4.45998772,36.71839564,14
L1V1,-4.45870542,36.71827202,15
L1V1,-4.45799504,36.71827696,16
L1V1,-4.45727477,36.71832971,17
L1V1,-4.45683635,36.71840882,18
L1V1,-4.45650671,36.71850607,19
L1V1,-4.45555075,36.71887691,20
L1V1,-4.45443491,36.71932358,21
L1V1,-4.45385474,36.71945543,22
L1V1,-4.45338665,36.71947851,23
L1V1,-4.45218346,36.71941258,24
L1V1,-4.45075611,36.71926754,25
L1V1,-4.44954798,36.71915546,26
L1V1,-4.44934443,36.71909612,27
L1V1,-4.44919279,36.7190236,28
L1V1,-4.44904033,36.71890988,29
L1V1,-4.44892084,36.71876895,30
L1V1,-4.44879805,36.71850277,31
L1V1,-4.44769045,36.71445148,32
L1V1,-4.44747454,36.7138367,33
L1V1,-4.44706908,36.71325818,34
L1V1,-4.44606697,36.71190005,35
L1V1,-4.4450253,36.71042326,36
L1V1,-4.44471709,36.70986946,37
L1V1,-4.44424941,36.7089477,38
L1V1,-4.44412043,36.70884098,39
L1V1,-4.44403761,36.70880802,40
L1V1,-4.44389422,36.70878577,41
L1V1,-4.44378544,36.70879153,42
L1V1,-4.44361567,36.70884963,43
L1V1,-4.43951823,36.71089671,44
L1V1,-4.43919353,36.71105246,45
L1V1,-4.43897762,36.7111291,46
L1V1,-4.43876088,36.71115218,47
L1V1,-4.43858699,36.71113652,48
L1V1,-4.43837355,36.71106812,49
L1V1,-4.43822439,36.71097829,50
L1V1,-4.43807852,36.71084973,51
L1V1,-4.43789145,36.71067585,52
L1V1,-4.43764751,36.71050938,53
L1V1,-4.43741594,36.71042202,54
L1V1,-4.43717695,36.71037999,55
L1V1,-4.4369701,36.71037752,56
L1V1,-4.43671793,36.71041708,57
L1V1,-4.43647069,36.71051103,58
L1V1,-4.43626137,36.71064371,59
L1V1,-4.43604875,36.71080523,60
L1V1,-4.43576526,36.7110162,61
L1V1,-4.43554358,36.71119503,62
