route_id,service_id,trip_id,trip_headsign,direction_id,wheelchair_accessible,block_id,shape_id
1,M01_25_02_ogt,M01_25_02_ogt_101_3001_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3001,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3002_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3002,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3003_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3003,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3004_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3004,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3005_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3005,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3006_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3006,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3007_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3007,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3008_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3008,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3009_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3009,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3010_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3010,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3011_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3011,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3012_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3012,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3013_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3013,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3014_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3014,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3015_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3015,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3016_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3016,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3017_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3017,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3018_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3018,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3019_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3019,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3020_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3020,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3021_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3021,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3022_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3022,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3023_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3023,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3024_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3024,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3025_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3025,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3026_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3026,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3027_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3027,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3028_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3028,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3029_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3029,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3030_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3030,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3031_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3031,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3032_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3032,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3033_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3033,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3034_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3034,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_101_3035_L1V1,Atarazanas,1,,M01_25_02_ogt_101_3035,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_101_3036_L1V2,Andalucía Tech,0,,M01_25_02_ogt_101_3036,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3001_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3001,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3002_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3002,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3003_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3003,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3004_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3004,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3005_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3005,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3006_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3006,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3007_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3007,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3008_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3008,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3009_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3009,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3010_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3010,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3011_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3011,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3012_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3012,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3013_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3013,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3014_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3014,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3015_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3015,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3016_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3016,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3017_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3017,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3018_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3018,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3019_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3019,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3020_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3020,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3021_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3021,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3022_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3022,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3023_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3023,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3024_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3024,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3025_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3025,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3026_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3026,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3027_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3027,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3028_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3028,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3029_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3029,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3030_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3030,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3031_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3031,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3032_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3032,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3033_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3033,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3034_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3034,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3035_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3035,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3036_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3036,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3037_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3037,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3038_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3038,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3039_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3039,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3040_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3040,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_102_3041_L1V1,Atarazanas,1,,M01_25_02_ogt_102_3041,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_102_3042_L1V2,Andalucía Tech,0,,M01_25_02_ogt_102_3042,L1V2
1,M01_25_02_ogt,M01_25_02_ogt_103_3001_L1V1,Atarazanas,1,,M01_25_02_ogt_103_3001,L1V1
1,M01_25_02_ogt,M01_25_02_ogt_103_3002_L1V2,Andalucía Tech,0,,M01_25_02_ogt_103_3002,L1V2
