service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L101-1_261325,1,1,1,1,1,1,1,20251101,20260401
L101-2_261326,1,1,1,1,1,1,1,20251101,20260401
L101-3_261327,1,1,1,1,1,1,0,20251101,20260401
L101-3_261328,0,0,0,0,0,0,1,20251101,20260401
L101-4_261329,1,1,1,1,1,1,1,20251101,20260401
L102-1_261336,1,1,1,1,1,1,0,20251101,20260401
L102-1_261337,0,0,0,0,0,0,1,20251101,20260401
L102-2_261339,1,1,1,1,1,1,0,20251101,20260401
L102-2_261338,0,0,0,0,0,0,1,20251101,20260401
L102-3_261340,1,1,1,1,1,1,0,20251101,20260401
L102-3_261341,0,0,0,0,0,0,1,20251101,20260401
L103-1_261546,1,1,1,1,1,1,0,20251201,20260401
L103-1_261547,0,0,0,0,0,0,1,20251201,20260501
L103-2_261550,1,1,1,1,1,1,0,20251201,20260401
L103-2_261551,0,0,0,0,0,0,1,20251201,20260401
L103-3_261552,1,1,1,1,1,1,0,20251201,20260401
L103-3_261553,0,0,0,0,0,0,1,20251201,20260401
L103-5_261548,1,1,1,1,1,1,0,20251201,20260401
L103-5_261549,0,0,0,0,0,0,1,20251201,20260401
L104-1_261554,1,1,1,1,1,1,1,20251201,20260401
L104-2_261555,1,1,1,1,1,1,1,20251201,20260401
L105-8_261556,1,1,1,1,1,1,1,20251201,20260401
L106-1_261345,1,1,1,1,1,1,0,20251101,20260401
L106-1_261355,0,0,0,0,0,0,1,20251101,20260401
L106-2_261346,1,1,1,1,1,1,0,20251101,20260401
L106-2_261356,0,0,0,0,0,0,1,20251101,20260401
L106-3_261347,1,1,1,1,1,1,1,20251101,20260401
L106-5_261348,1,1,1,1,1,1,0,20251101,20260401
L106-5_261361,0,0,0,0,0,0,1,20251101,20260401
L106-7_261349,1,1,1,1,1,1,0,20251101,20260401
L107-1_261570,1,1,1,1,1,1,0,20251126,20260401
L107-1_261365,0,0,0,0,0,0,1,20251101,20260401
L107-2_261367,1,1,1,1,1,1,0,20251101,20260401
L107-2_261366,0,0,0,0,0,0,1,20251101,20260401
L107-5_261369,1,1,1,1,1,1,0,20251101,20260401
L108-1_261557,1,1,1,1,1,1,1,20251201,20260401
L108-2_261675,1,1,1,1,1,1,1,20260113,20260401
L108-3_261559,1,1,1,1,1,1,1,20251201,20260401
L121-1_261330,1,1,1,1,1,1,0,20251101,20260401
L121-1_261331,0,0,0,0,0,0,1,20251101,20260401
L121-2_261332,1,1,1,1,1,1,1,20251101,20260401
L121-5_261333,1,1,1,1,1,1,1,20251101,20260401
L122-1_261401,1,1,1,1,1,1,1,20251101,20260401
L123-1_261409,1,1,1,1,1,1,1,20251101,20260401
L123-2_261578,1,1,1,1,1,1,1,20251211,20260401
L201-1_261164,1,1,1,1,1,0,0,20251101,20351031
L201-1_261165,0,0,0,0,0,1,1,20251101,20351031
L201-2_261166,1,1,1,1,1,1,1,20251101,20351031
L201-3_261167,1,1,1,1,1,1,1,20251101,20351031
L201-4_261168,1,1,1,1,1,1,1,20251101,20351031
L202-2_228964,1,1,1,1,1,0,0,20241101,20300930
L202-2_228965,0,0,0,0,0,1,1,20241101,20300930
L202-5_228966,1,1,1,1,1,0,0,20241101,20300930
L202-6_228967,1,1,1,1,1,0,0,20241101,20300930
L202-8_228968,1,1,1,1,1,0,0,20241101,20300930
L202-9_228969,0,0,0,0,0,1,1,20241101,20300930
L202-10_228958,1,1,1,1,1,0,0,20241101,20300930
L202-10_228959,0,0,0,0,0,1,1,20241101,20300930
L202-12_228960,0,0,0,0,0,1,1,20241101,20300930
L202-13_228961,1,1,1,1,1,0,0,20241101,20300930
L202-13_228962,0,0,0,0,0,1,1,20241101,20300930
L202-14_228963,1,1,1,1,1,0,0,20241101,20300930
L203-2_261478,0,0,0,0,0,1,1,20251105,20260401
L203-4_261169,1,1,1,1,1,0,0,20251101,20260401
L203-5_261170,1,1,1,1,1,0,0,20251101,20260401
L203-6_261171,1,1,1,1,1,0,0,20251101,20260401
L203-9_261573,0,0,0,0,0,1,1,20251202,20260401
L203-10_261177,1,1,1,1,1,0,0,20251101,20260401
L203-10_261178,0,0,0,0,0,1,1,20251101,20260401
L204-1_261205,1,1,1,1,1,1,0,20251101,20260401
L204-1_261206,0,0,0,0,0,0,1,20251101,20260401
L204-2_261207,1,1,1,1,1,1,0,20251101,20260401
L204-2_261208,0,0,0,0,0,0,1,20251101,20260401
L205-1_261179,1,1,1,1,1,0,0,20251101,20351031
L205-2_261180,1,1,1,1,1,0,0,20251101,20351031
L205-2_261181,0,0,0,0,0,1,1,20251101,20351031
L205-3_261182,1,1,1,1,1,0,0,20251101,20351031
L205-4_261183,1,1,1,1,1,0,0,20251101,20351031
L205-5_261489,1,1,1,1,1,0,0,20251108,20351031
L205-5_261185,0,0,0,0,0,1,1,20251101,20351031
L205-6_261186,1,1,1,1,1,0,0,20251101,20351031
L205-7_261187,1,1,1,1,1,0,0,20251101,20351031
L232-1_261560,1,1,1,1,1,0,0,20251201,20260401
L232-1_261561,0,0,0,0,0,1,0,20251201,20260401
L232-1_261562,0,0,0,0,0,0,1,20251201,20260401
L232-2_261563,1,1,1,1,1,0,0,20251201,20260401
L232-2_261564,0,0,0,0,0,1,0,20251201,20260401
L232-2_261565,0,0,0,0,0,0,1,20251201,20260401
L301-1_261237,1,1,1,1,1,0,0,20251101,20260401
L301-3_261487,1,1,1,1,1,0,0,20251108,20260401
L301-3_261488,0,0,0,0,0,1,1,20251108,20260401
L301-4_261485,1,1,1,1,1,0,0,20251106,20260401
L301-4_261486,0,0,0,0,0,1,1,20251106,20260401
L301-7_261242,1,1,1,1,1,1,1,20251101,20260401
L301-8_261243,1,1,1,1,1,1,1,20251101,20260401
L302-23_261566,1,1,1,1,1,1,1,20251201,20260401
L302-24_261567,1,1,1,1,1,1,1,20251201,20260401
L302-25_261568,1,1,1,1,1,1,1,20251201,20260401
L302-26_261569,1,1,1,1,1,1,1,20251201,20260401
L303-1_261194,1,1,1,1,1,0,0,20251101,20351031
L303-2_261195,1,1,1,1,1,0,0,20251101,20351031
L303-2_261196,0,0,0,0,0,1,1,20251101,20351031
L303-3_261197,1,1,1,1,1,0,0,20251101,20351031
L303-3_261198,0,0,0,0,0,1,1,20251101,20351031
L303-4_261199,1,1,1,1,1,0,0,20251101,20351031
L303-4_261200,0,0,0,0,0,1,1,20251101,20351031
L303-7_261201,1,1,1,1,1,0,0,20251101,20351031
L303-7_261202,0,0,0,0,0,1,1,20251101,20351031
L304-1_260913,1,1,1,1,1,0,0,20250924,20300930
L304-1_218289,0,0,0,0,0,1,1,20240502,20301031
L304-2_260914,1,1,1,1,1,0,0,20250924,20300930
L304-2_218291,0,0,0,0,0,1,1,20240502,20301031
L304-3_218292,1,1,1,1,1,0,0,20240502,20301031
L304-5_218294,1,1,1,1,1,0,0,20240502,20301031
L311-2_228854,1,1,1,1,1,0,0,20241001,20341231
L311-2_207727,0,0,0,0,0,1,1,20240301,20300228
L312-1_228851,1,1,1,1,1,0,0,20241001,20351231
L312-1_218300,0,0,0,0,0,1,1,20240502,20301231
L312-2_260934,1,1,1,1,1,0,0,20250926,20300930
L312-2_207860,0,0,0,0,0,1,1,20240306,20300331
L312-5_260935,1,1,1,1,1,0,0,20250926,20300930
L312-5_207861,0,0,0,0,0,1,1,20240306,20300331
L312-6_260911,1,1,1,1,1,0,0,20250924,20300930
L312-6_207863,0,0,0,0,0,1,1,20240306,20300331
L312-7_260912,1,1,1,1,1,0,0,20250924,20300930
L312-7_207865,0,0,0,0,0,1,1,20240306,20300331
L313-1_261581,1,1,1,1,1,0,0,20251218,20351130
L313-1_228760,0,0,0,0,0,1,1,20240903,20300228
L314-1_207795,1,1,1,1,1,0,0,20240301,20300228
L314-1_207749,0,0,0,0,0,1,1,20240301,20300228
L314-2_207750,1,1,1,1,1,0,0,20240301,20300228
L314-3_207751,1,1,1,1,1,0,0,20240301,20300228
L314-4_207752,1,1,1,1,1,0,0,20240301,20300228
L314-5_207753,1,1,1,1,1,0,0,20240301,20300228
L314-6_207754,1,1,1,1,1,0,0,20240301,20300228
L316-5_261502,1,1,1,1,1,0,0,20251117,20260401
L316-1_261500,1,1,1,1,1,0,0,20251117,20260401
L316-1_261210,0,0,0,0,0,1,0,20251101,20260401
L316-1_261211,0,0,0,0,0,0,1,20251101,20260401
L316-2_261501,1,1,1,1,1,0,0,20251117,20260401
L316-2_261503,0,0,0,0,0,1,0,20251117,20260401
L316-2_261504,0,0,0,0,0,0,1,20251117,20260401
L316-3_261215,1,1,1,1,1,0,0,20251101,20260401
L316-3_261216,0,0,0,0,0,1,0,20251101,20260401
L316-3_261217,0,0,0,0,0,0,1,20251101,20260401
L316-4_261218,1,1,1,1,1,0,0,20251201,20260401
L316-4_261505,0,0,0,0,0,1,0,20251117,20260401
L316-4_261506,0,0,0,0,0,0,1,20251201,20260401
L316-6_261222,1,1,1,1,1,0,0,20251101,20260401
L316-7_261223,1,1,1,1,1,0,0,20251101,20260401
L321-4_261384,1,1,1,1,1,1,1,20251101,20260401
L321-5_261385,1,1,1,1,1,1,1,20251101,20260401
L321-6_261386,1,1,1,1,1,1,1,20251101,20260401
L322-8_261411,1,1,1,1,1,0,0,20251101,20260401
L322-8_261412,0,0,0,0,0,1,0,20251101,20260401
L322-8_261413,0,0,0,0,0,0,1,20251101,20260401
L322-12_261414,1,1,1,1,1,1,1,20251101,20260401
L322-14_261415,1,1,1,1,1,0,0,20251101,20260401
L322-15_261417,1,1,1,1,1,0,0,20251101,20260401
L322-16_261416,1,1,1,1,1,0,0,20251101,20260401
L331-1_261641,0,0,0,0,0,1,1,20251223,20351130
L331-2_261526,0,0,0,0,0,1,1,20251117,20351130
L341-1_261524,1,1,1,1,1,0,0,20251117,20351130
L341-1_207491,0,0,0,0,0,1,0,20240117,20300531
L341-2_195472,1,1,1,1,1,0,0,20230217,20260228
L341-4_195473,0,0,0,0,0,0,1,20230217,20260228
L341-5_207492,0,0,0,0,0,0,1,20240120,20300131
L342-3_261517,1,1,1,1,1,0,0,20251117,20351130
L342-3_261518,0,0,0,0,0,1,1,20251117,20351130
L342-4_261519,1,1,1,1,1,0,0,20251117,20351130
L342-4_261520,0,0,0,0,0,1,1,20251117,20351130
L342-5_261521,1,1,1,1,1,0,0,20251117,20351130
L342-7_261522,1,1,1,1,1,0,0,20251117,20351130
L342-7_261523,0,0,0,0,0,1,1,20251117,20351130
L343d-1_261541,1,1,1,1,1,0,0,20251117,20351130
L343d-2_261542,1,1,1,1,1,0,0,20251117,20351130
L401-1_261283,1,1,1,1,1,1,0,20251101,20260401
L401-1_261284,0,0,0,0,0,0,1,20251101,20260401
L401-2_261285,1,1,1,1,1,1,0,20251101,20260401
L401-2_261286,0,0,0,0,0,0,1,20251101,20260401
L401-3_261287,1,1,1,1,1,0,0,20251101,20260401
L401-3_261484,0,0,0,0,0,1,0,20251106,20260401
L401-4_261288,1,1,1,1,1,1,0,20251101,20260401
L401-5_261289,1,1,1,1,1,0,0,20251101,20260401
L401-5_261483,0,0,0,0,0,1,0,20251106,20260401
L401-6_261290,1,1,1,1,1,1,0,20251101,20260401
L401-10_261499,0,0,0,0,0,1,0,20251111,20260401
L401-13_261292,1,1,1,1,1,1,0,20251101,20260401
L401-14_261293,1,1,1,1,1,0,0,20251101,20260401
L401-16_261294,1,1,1,1,1,1,0,20251101,20260401
L401-16_261295,0,0,0,0,0,0,1,20251101,20260401
L401-17_261296,1,1,1,1,1,0,0,20251101,20260401
L401-19_261704,0,1,1,1,1,1,1,20260123,20260401
L401-23_261297,1,1,1,1,1,0,0,20251101,20260401
L401-23_261482,0,0,0,0,0,1,0,20251106,20260401
L401-24_261304,1,1,1,1,1,1,0,20251101,20260401
L401-25_261305,1,1,1,1,1,1,0,20251101,20260401
L401-26_261306,1,1,1,1,1,1,0,20251101,20260401
L401-28_261309,1,1,1,1,1,1,0,20251101,20260401
L401-28_261310,0,0,0,0,0,0,1,20251101,20260401
L401-27_261481,0,0,0,0,0,0,1,20251106,20260401
L403-1_261436,1,1,1,1,1,0,0,20251101,20351031
L403-1_261437,0,0,0,0,0,1,1,20251101,20351031
L403-2_261438,1,1,1,1,1,0,0,20251101,20351031
L403-2_261538,0,0,0,0,0,1,1,20251118,20351130
L403-4_261440,1,1,1,1,1,0,0,20251101,20351031
L403-4_261441,0,0,0,0,0,1,1,20251101,20351031
L411-1_261313,1,1,1,1,1,0,0,20251101,20260401
L411-1_261314,0,0,0,0,0,1,0,20251101,20260401
L411-1_261315,0,0,0,0,0,0,1,20251101,20260401
L411-2_261316,1,1,1,1,1,1,0,20251101,20260401
L411-2_261317,0,0,0,0,0,0,1,20251101,20260401
