service_id,date,exception_type
L101-3_261327,20260302,2
L101-3_261328,20260302,1
L103-1_261546,20260302,2
L103-1_261547,20260302,1
L103-2_261550,20260302,2
L103-2_261551,20260302,1
L103-3_261552,20260302,2
L103-3_261553,20260302,1
L103-5_261548,20260302,2
L103-5_261549,20260302,1
L107-1_261570,20260302,2
L107-1_261365,20260302,1
L107-2_261367,20260302,2
L107-2_261366,20260302,1
L121-1_261330,20260302,2
L121-1_261331,20260302,1
L201-1_261164,20260302,2
L201-1_261165,20260302,1
L202-2_228964,20260302,2
L202-2_228965,20260302,1
L202-10_228958,20260302,2
L202-10_228959,20260302,1
L202-13_228961,20260302,2
L202-13_228962,20260302,1
L203-10_261177,20260302,2
L203-10_261178,20260302,1
L204-1_261205,20260302,2
L204-1_261206,20260302,1
L204-2_261207,20260302,2
L204-2_261208,20260302,1
L205-2_261180,20260302,2
L205-2_261181,20260302,1
L205-5_261489,20260302,2
L205-5_261185,20260302,1
L232-1_261560,20260302,2
L232-1_261562,20260302,1
L232-2_261563,20260302,2
L232-2_261565,20260302,1
L301-3_261487,20260302,2
L301-3_261488,20260302,1
L301-4_261485,20260302,2
L301-4_261486,20260302,1
L303-2_261195,20260302,2
L303-2_261196,20260302,1
L303-3_261197,20260302,2
L303-3_261198,20260302,1
L303-4_261199,20260302,2
L303-4_261200,20260302,1
L303-7_261201,20260302,2
L303-7_261202,20260302,1
L304-1_260913,20260302,2
L304-1_218289,20260302,1
L304-2_260914,20260302,2
L304-2_218291,20260302,1
L311-2_228854,20260302,2
L311-2_207727,20260302,1
L312-1_228851,20260302,2
L312-1_218300,20260302,1
L312-2_260934,20260302,2
L312-2_207860,20260302,1
L312-5_260935,20260302,2
L312-5_207861,20260302,1
L312-6_260911,20260302,2
L312-6_207863,20260302,1
L312-7_260912,20260302,2
L312-7_207865,20260302,1
L313-1_261581,20260302,2
L313-1_228760,20260302,1
L314-1_207795,20260302,2
L314-1_207749,20260302,1
L316-1_261500,20260302,2
L316-1_261211,20260302,1
L316-2_261501,20260302,2
L316-2_261504,20260302,1
L316-3_261215,20260302,2
L316-3_261217,20260302,1
L316-4_261218,20260302,2
L316-4_261506,20260302,1
L322-8_261411,20260302,2
L322-8_261413,20260302,1
L342-3_261517,20260302,2
L342-3_261518,20260302,1
L342-4_261519,20260302,2
L342-4_261520,20260302,1
L342-7_261522,20260302,2
L342-7_261523,20260302,1
L401-1_261283,20260302,2
L401-1_261284,20260302,1
L401-2_261285,20260302,2
L401-2_261286,20260302,1
L401-16_261294,20260302,2
L401-16_261295,20260302,1
L401-28_261309,20260302,2
L401-28_261310,20260302,1
L403-1_261436,20260302,2
L403-1_261437,20260302,1
L403-2_261438,20260302,2
L403-2_261538,20260302,1
L403-4_261440,20260302,2
L403-4_261441,20260302,1
L411-1_261313,20260302,2
L411-1_261315,20260302,1
L411-2_261316,20260302,2
L411-2_261317,20260302,1
L412-2_261321,20260302,2
L412-2_261323,20260302,1
L412-1_261318,20260302,2
L412-1_261320,20260302,1
L416-2_261375,20260302,2
L416-2_261377,20260302,1
L416-6_261381,20260302,2
L416-6_261383,20260302,1
L416-5_261378,20260302,2
L416-5_261380,20260302,1
L417-11_261397,20260302,2
L417-11_261398,20260302,1
L417-12_261399,20260302,2
L417-12_261400,20260302,1
L421-1_261387,20260302,2
L421-1_261389,20260302,1
L421-2_261390,20260302,2
L421-2_261392,20260302,1
L432-3_261402,20260302,2
L432-3_261407,20260302,1
L432-4_261494,20260302,2
L432-4_261496,20260302,1
L441-3_261582,20260302,2
L441-3_261583,20260302,1
L441-4_261544,20260302,2
L441-4_229159,20260302,1
L442-1_261529,20260302,2
L442-1_261530,20260302,1
L442-2_261531,20260302,2
L442-2_261532,20260302,1
L501-1_261612_2,20260302,2
L501-1_261079,20260302,1
L501-2_261614_2,20260302,2
L501-2_261640,20260302,1
L501-3_261084,20260302,2
L501-3_261085,20260302,1
L501-5_261089,20260302,2
L501-5_261091,20260302,1
L501-4_261086,20260302,2
L501-4_261088,20260302,1
L504-1_261107,20260302,2
L504-1_261108,20260302,1
L504-2_261109,20260302,2
L504-2_261110,20260302,1
L504-5_261111,20260302,2
L504-5_261112,20260302,1
L508-6_261426,20260302,2
L508-6_261427,20260302,1
L508-7_261428,20260302,2
L508-7_261429,20260302,1
L508-8_261430,20260302,2
L508-8_261431,20260302,1
L508-9_261432,20260302,2
L508-9_261433,20260302,1
L512-1_261224,20260302,2
L512-1_261226,20260302,1
L514-3_261122,20260302,2
L514-3_261580,20260302,1
L514-8_261130,20260302,2
L514-8_261132,20260302,1
L515-1_261134,20260302,2
L515-1_261135,20260302,1
L515-2_261136,20260302,2
L515-2_261137,20260302,1
L516-1_261138,20260302,2
L516-1_261139,20260302,1
L516-3_261141,20260302,2
L516-3_261142,20260302,1
L517-1_261676,20260302,2
L517-1_261146,20260302,1
L517-2_261679,20260302,2
L517-2_261149,20260302,1
L517-3_261150,20260302,2
L517-3_261152,20260302,1
T2-1_261509,20260302,2
T2-1_261510,20260302,1
T2-2_261511,20260302,2
T2-2_261512,20260302,1
T3-1_261513,20260302,2
T3-1_261514,20260302,1
T3-2_261515,20260302,2
T3-2_261516,20260302,1
