trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
649554,06:40:00,06:40:00,1131,1,,0,0,
649554,06:41:00,06:41:00,1130,2,,0,0,
649554,06:43:00,06:43:00,1129,3,,0,0,
649554,06:44:00,06:44:00,1127,4,,0,0,
649554,06:48:00,06:48:00,1139,5,,0,0,
649554,06:52:00,06:52:00,1125,6,,0,0,
649554,07:17:00,07:17:00,980,7,,1,0,
649554,07:19:00,07:19:00,981,8,,1,0,
649554,07:21:00,07:21:00,983,9,,1,0,
649554,07:25:00,07:25:00,977,10,,1,0,
649554,07:30:00,07:30:00,984,11,,1,0,
649555,07:40:00,07:40:00,1131,1,,0,0,
649555,07:41:00,07:41:00,1130,2,,0,0,
649555,07:43:00,07:43:00,1129,3,,0,0,
649555,07:44:00,07:44:00,1127,4,,0,0,
649555,07:48:00,07:48:00,1139,5,,0,0,
649555,07:52:00,07:52:00,1125,6,,0,0,
649555,08:17:00,08:17:00,980,7,,1,0,
649555,08:19:00,08:19:00,981,8,,1,0,
649555,08:21:00,08:21:00,983,9,,1,0,
649555,08:25:00,08:25:00,977,10,,1,0,
649555,08:30:00,08:30:00,984,11,,1,0,
649556,08:50:00,08:50:00,1131,1,,0,0,
649556,08:51:00,08:51:00,1130,2,,0,0,
649556,08:53:00,08:53:00,1129,3,,0,0,
649556,08:54:00,08:54:00,1127,4,,0,0,
649556,08:58:00,08:58:00,1139,5,,0,0,
649556,09:02:00,09:02:00,1125,6,,0,0,
649556,09:27:00,09:27:00,980,7,,1,0,
649556,09:29:00,09:29:00,981,8,,1,0,
649556,09:31:00,09:31:00,983,9,,1,0,
649556,09:35:00,09:35:00,977,10,,1,0,
649556,09:40:00,09:40:00,984,11,,1,0,
649557,09:50:00,09:50:00,1131,1,,0,0,
649557,09:51:00,09:51:00,1130,2,,0,0,
649557,09:53:00,09:53:00,1129,3,,0,0,
649557,09:54:00,09:54:00,1127,4,,0,0,
649557,09:58:00,09:58:00,1139,5,,0,0,
649557,10:02:00,10:02:00,1125,6,,0,0,
649557,10:27:00,10:27:00,980,7,,1,0,
649557,10:29:00,10:29:00,981,8,,1,0,
649557,10:31:00,10:31:00,983,9,,1,0,
649557,10:35:00,10:35:00,977,10,,1,0,
649557,10:40:00,10:40:00,984,11,,1,0,
649558,11:00:00,11:00:00,1131,1,,0,0,
649558,11:01:00,11:01:00,1130,2,,0,0,
649558,11:03:00,11:03:00,1129,3,,0,0,
649558,11:04:00,11:04:00,1127,4,,0,0,
649558,11:08:00,11:08:00,1139,5,,0,0,
649558,11:12:00,11:12:00,1125,6,,0,0,
649558,11:37:00,11:37:00,980,7,,1,0,
649558,11:39:00,11:39:00,981,8,,1,0,
649558,11:41:00,11:41:00,983,9,,1,0,
649558,11:45:00,11:45:00,977,10,,1,0,
649558,11:50:00,11:50:00,984,11,,1,0,
649559,12:05:00,12:05:00,1131,1,,0,0,
649559,12:06:00,12:06:00,1130,2,,0,0,
649559,12:08:00,12:08:00,1129,3,,0,0,
649559,12:09:00,12:09:00,1127,4,,0,0,
649559,12:13:00,12:13:00,1139,5,,0,0,
649559,12:17:00,12:17:00,1125,6,,0,0,
649559,12:42:00,12:42:00,980,7,,1,0,
649559,12:44:00,12:44:00,981,8,,1,0,
649559,12:46:00,12:46:00,983,9,,1,0,
649559,12:50:00,12:50:00,977,10,,1,0,
649559,12:55:00,12:55:00,984,11,,1,0,
649560,13:10:00,13:10:00,1131,1,,0,0,
649560,13:11:00,13:11:00,1130,2,,0,0,
649560,13:13:00,13:13:00,1129,3,,0,0,
649560,13:14:00,13:14:00,1127,4,,0,0,
649560,13:18:00,13:18:00,1139,5,,0,0,
649560,13:22:00,13:22:00,1125,6,,0,0,
649560,13:47:00,13:47:00,980,7,,1,0,
649560,13:49:00,13:49:00,981,8,,1,0,
649560,13:51:00,13:51:00,983,9,,1,0,
649560,13:55:00,13:55:00,977,10,,1,0,
649560,14:00:00,14:00:00,984,11,,1,0,
649561,14:20:00,14:20:00,1131,1,,0,0,
649561,14:21:00,14:21:00,1130,2,,0,0,
649561,14:23:00,14:23:00,1129,3,,0,0,
649561,14:24:00,14:24:00,1127,4,,0,0,
649561,14:28:00,14:28:00,1139,5,,0,0,
649561,14:32:00,14:32:00,1125,6,,0,0,
649561,14:57:00,14:57:00,980,7,,1,0,
649561,14:59:00,14:59:00,981,8,,1,0,
649561,15:01:00,15:01:00,983,9,,1,0,
649561,15:05:00,15:05:00,977,10,,1,0,
649561,15:10:00,15:10:00,984,11,,1,0,
649562,15:20:00,15:20:00,1131,1,,0,0,
649562,15:21:00,15:21:00,1130,2,,0,0,
649562,15:23:00,15:23:00,1129,3,,0,0,
649562,15:24:00,15:24:00,1127,4,,0,0,
649562,15:28:00,15:28:00,1139,5,,0,0,
649562,15:32:00,15:32:00,1125,6,,0,0,
649562,16:07:00,16:07:00,980,7,,1,0,
649562,16:09:00,16:09:00,981,8,,1,0,
649562,16:11:00,16:11:00,983,9,,1,0,
649562,16:15:00,16:15:00,977,10,,1,0,
649562,16:20:00,16:20:00,984,11,,1,0,
649563,16:30:00,16:30:00,1131,1,,0,0,
649563,16:31:00,16:31:00,1130,2,,0,0,
649563,16:33:00,16:33:00,1129,3,,0,0,
649563,16:34:00,16:34:00,1127,4,,0,0,
649563,16:38:00,16:38:00,1139,5,,0,0,
649563,16:42:00,16:42:00,1125,6,,0,0,
649563,17:17:00,17:17:00,980,7,,1,0,
649563,17:19:00,17:19:00,981,8,,1,0,
649563,17:21:00,17:21:00,983,9,,1,0,
649563,17:25:00,17:25:00,977,10,,1,0,
649563,17:30:00,17:30:00,984,11,,1,0,
649564,17:45:00,17:45:00,1131,1,,0,0,
649564,17:46:00,17:46:00,1130,2,,0,0,
649564,17:48:00,17:48:00,1129,3,,0,0,
649564,17:49:00,17:49:00,1127,4,,0,0,
649564,17:53:00,17:53:00,1139,5,,0,0,
649564,17:57:00,17:57:00,1125,6,,0,0,
649564,18:22:00,18:22:00,980,7,,1,0,
649564,18:24:00,18:24:00,981,8,,1,0,
649564,18:26:00,18:26:00,983,9,,1,0,
649564,18:30:00,18:30:00,977,10,,1,0,
649564,18:35:00,18:35:00,984,11,,1,0,
649565,18:50:00,18:50:00,1131,1,,0,0,
649565,18:51:00,18:51:00,1130,2,,0,0,
649565,18:53:00,18:53:00,1129,3,,0,0,
649565,18:54:00,18:54:00,1127,4,,0,0,
649565,18:58:00,18:58:00,1139,5,,0,0,
649565,19:02:00,19:02:00,1125,6,,0,0,
649565,19:27:00,19:27:00,980,7,,1,0,
649565,19:29:00,19:29:00,981,8,,1,0,
649565,19:31:00,19:31:00,983,9,,1,0,
649565,19:35:00,19:35:00,977,10,,1,0,
649565,19:40:00,19:40:00,984,11,,1,0,
649566,20:00:00,20:00:00,1131,1,,0,0,
649566,20:01:00,20:01:00,1130,2,,0,0,
649566,20:03:00,20:03:00,1129,3,,0,0,
649566,20:04:00,20:04:00,1127,4,,0,0,
649566,20:08:00,20:08:00,1139,5,,0,0,
649566,20:12:00,20:12:00,1125,6,,0,0,
649566,20:37:00,20:37:00,980,7,,1,0,
649566,20:39:00,20:39:00,981,8,,1,0,
649566,20:41:00,20:41:00,983,9,,1,0,
649566,20:45:00,20:45:00,977,10,,1,0,
649566,20:50:00,20:50:00,984,11,,1,0,
649581,06:35:00,06:35:00,984,1,,0,1,
649581,06:39:00,06:39:00,978,2,,0,1,
649581,06:42:00,06:42:00,982,3,,0,1,
649581,06:43:00,06:43:00,985,4,,0,1,
649581,06:45:00,06:45:00,979,5,,0,1,
649581,07:05:00,07:05:00,1125,6,,0,0,
649581,07:15:00,07:15:00,1140,7,,0,0,
649581,07:18:00,07:18:00,1126,8,,0,0,
649581,07:19:00,07:19:00,1128,9,,0,0,
649581,07:24:00,07:24:00,1137,10,,0,0,
649581,07:25:00,07:25:00,1131,11,,0,0,
649582,07:50:00,07:50:00,984,1,,0,1,
649582,07:54:00,07:54:00,978,2,,0,1,
649582,07:57:00,07:57:00,982,3,,0,1,
649582,07:58:00,07:58:00,985,4,,0,1,
649582,08:00:00,08:00:00,979,5,,0,1,
649582,08:20:00,08:20:00,1125,6,,0,0,
649582,08:30:00,08:30:00,1140,7,,0,0,
649582,08:33:00,08:33:00,1126,8,,0,0,
649582,08:34:00,08:34:00,1128,9,,0,0,
649582,08:39:00,08:39:00,1137,10,,0,0,
649582,08:40:00,08:40:00,1131,11,,0,0,
649583,08:50:00,08:50:00,984,1,,0,1,
649583,08:54:00,08:54:00,978,2,,0,1,
649583,08:57:00,08:57:00,982,3,,0,1,
649583,08:58:00,08:58:00,985,4,,0,1,
649583,09:00:00,09:00:00,979,5,,0,1,
649583,09:20:00,09:20:00,1125,6,,0,0,
649583,09:30:00,09:30:00,1140,7,,0,0,
649583,09:33:00,09:33:00,1126,8,,0,0,
649583,09:34:00,09:34:00,1128,9,,0,0,
649583,09:39:00,09:39:00,1137,10,,0,0,
649583,09:40:00,09:40:00,1131,11,,0,0,
649584,10:00:00,10:00:00,984,1,,0,1,
649584,10:04:00,10:04:00,978,2,,0,1,
649584,10:07:00,10:07:00,982,3,,0,1,
649584,10:08:00,10:08:00,985,4,,0,1,
649584,10:10:00,10:10:00,979,5,,0,1,
649584,10:30:00,10:30:00,1125,6,,0,0,
649584,10:40:00,10:40:00,1140,7,,0,0,
649584,10:43:00,10:43:00,1126,8,,0,0,
649584,10:44:00,10:44:00,1128,9,,0,0,
649584,10:49:00,10:49:00,1137,10,,0,0,
649584,10:50:00,10:50:00,1131,11,,0,0,
649585,11:05:00,11:05:00,984,1,,0,1,
649585,11:09:00,11:09:00,978,2,,0,1,
649585,11:12:00,11:12:00,982,3,,0,1,
649585,11:13:00,11:13:00,985,4,,0,1,
649585,11:15:00,11:15:00,979,5,,0,1,
649585,11:35:00,11:35:00,1125,6,,0,0,
649585,11:45:00,11:45:00,1140,7,,0,0,
649585,11:48:00,11:48:00,1126,8,,0,0,
