stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,parent_station,location_type,level_id,wheelchair_boarding
1024,302,Jacint Verdaguer Estació (302),,39.58032,2.660273,12376,https://www.tib.org/web/ctm/parades/-/parada/302,,,,
1025,303,Son Costa - Son Fortesa Estació (303),,39.584072,2.665686,12376,https://www.tib.org/web/ctm/parades/-/parada/303,,,,
1026,304,Son Fuster Vell Estació (304),,39.595455,2.671543,12384,https://www.tib.org/web/ctm/parades/-/parada/304,,,,
1027,305,Son Castelló Estació (305),,39.602608,2.672195,12384,https://www.tib.org/web/ctm/parades/-/parada/305,,,,
1028,306,Gran Via Asima Estació (306),,39.606476,2.66863,12384,https://www.tib.org/web/ctm/parades/-/parada/306,,,,
1029,307,Camí dels Reis Estació (307),,39.61027,2.665381,12384,https://www.tib.org/web/ctm/parades/-/parada/307,,,,
1030,308,Son Sardina Estació (308),,39.620686,2.661261,12385,https://www.tib.org/web/ctm/parades/-/parada/308,,,,
1031,309,UIB Estació (309),,39.63461,2.647983,12386,https://www.tib.org/web/ctm/parades/-/parada/309,,,,
1038,45004,Galilea (45004),,39.609165,2.506009,12399,https://www.tib.org/web/ctm/parades/-/parada/45004,,,,
1039,45007,Conques 1 (45007),,39.609207,2.517153,12400,https://www.tib.org/web/ctm/parades/-/parada/45007,,,,
1040,45008,Conques 2 (45008),,39.609272,2.517073,12400,https://www.tib.org/web/ctm/parades/-/parada/45008,,,,
1041,45015,Son Serralta (45015),,39.618473,2.543626,12401,https://www.tib.org/web/ctm/parades/-/parada/45015,,,,
1042,45016,Torrent d'en Faveta (45016),,39.6203,2.540354,12401,https://www.tib.org/web/ctm/parades/-/parada/45016,,,,
1043,45017,Son Pont (45017),,39.617596,2.547261,12401,https://www.tib.org/web/ctm/parades/-/parada/45017,,,,
1044,45019,Puigpunyent (45019),,39.62323,2.527325,12402,https://www.tib.org/web/ctm/parades/-/parada/45019,,,,
1045,40063,Son Sardina 1 (40063),,39.620533,2.660542,12385,https://www.tib.org/web/ctm/parades/-/parada/40063,,,,
1046,40064,Son Sardina 2 (40064),,39.620903,2.660857,12385,https://www.tib.org/web/ctm/parades/-/parada/40064,,,,
1047,40037,Alfons el Magnànim (40037),,39.586254,2.653136,12376,https://www.tib.org/web/ctm/parades/-/parada/40037,,,,
1048,40034,Son Pacs 1 (40034),,39.60471,2.654832,12376,https://www.tib.org/web/ctm/parades/-/parada/40034,,,,
1049,40035,Son Pacs 2 (40035),,39.605076,2.655166,12376,https://www.tib.org/web/ctm/parades/-/parada/40035,,,,
1050,40086,S'Escorxador (40086),,39.586475,2.650669,12376,https://www.tib.org/web/ctm/parades/-/parada/40086,,,,
1052,10007,Sa Font Seca 1 (10007),,39.668285,2.671736,12403,https://www.tib.org/web/ctm/parades/-/parada/10007,,,,
1053,10008,Sa Font Seca 2 (10008),,39.66844,2.672089,12403,https://www.tib.org/web/ctm/parades/-/parada/10008,,,,
1054,10019,Clavells 2 (10019),,39.663277,2.670078,12403,https://www.tib.org/web/ctm/parades/-/parada/10019,,,,
1055,10020,Clavells 1 (10020),,39.663307,2.669915,12403,https://www.tib.org/web/ctm/parades/-/parada/10020,,,,
1056,10025,Sa Plaça (10025),,39.696472,2.69953,12404,https://www.tib.org/web/ctm/parades/-/parada/10025,,,,
1057,10026,Raixa 2 (10026),,39.67575,2.679575,12405,https://www.tib.org/web/ctm/parades/-/parada/10026,,,,
1058,10028,Roses (10028),,39.657948,2.672033,12403,https://www.tib.org/web/ctm/parades/-/parada/10028,,,,
1059,10030,Costa de s'Estació (10030),,39.697582,2.694947,12404,https://www.tib.org/web/ctm/parades/-/parada/10030,,,,
1060,10044,Pla de sa Coma (10044),,39.66783,2.683494,12406,https://www.tib.org/web/ctm/parades/-/parada/10044,,,,
1061,10045,Es Garrigó (10045),,39.69147,2.701889,12404,https://www.tib.org/web/ctm/parades/-/parada/10045,,,,
1062,40122,Son Fuster Vell 2 (40122),,39.59554,2.671233,12384,https://www.tib.org/web/ctm/parades/-/parada/40122,,,,
1063,40123,Son Fuster Vell 1 (40123),,39.595634,2.670999,12384,https://www.tib.org/web/ctm/parades/-/parada/40123,,,,
1064,40124,Eusebi Estada 1 (40124),,39.586716,2.663351,12376,https://www.tib.org/web/ctm/parades/-/parada/40124,,,,
1065,40125,Eusebi Estada 2 (40125),,39.586594,2.663548,12376,https://www.tib.org/web/ctm/parades/-/parada/40125,,,,
1066,36014,Cas Metge (36014),,39.62475,2.692296,12407,https://www.tib.org/web/ctm/parades/-/parada/36014,,,,
1067,36080,Can Sionet (36080),,39.627445,2.691652,12408,https://www.tib.org/web/ctm/parades/-/parada/36080,,,,
1068,36081,ASPACE 2 (36081),,39.648,2.698772,12408,https://www.tib.org/web/ctm/parades/-/parada/36081,,,,
1069,36082,Es Garrovers (36082),,39.62839,2.69905,12407,https://www.tib.org/web/ctm/parades/-/parada/36082,,,,
1070,36083,Son Daviu (36083),,39.633404,2.70328,12409,https://www.tib.org/web/ctm/parades/-/parada/36083,,,,
1071,36086,Nova Cabana 2 (36086),,39.610275,2.685008,12410,https://www.tib.org/web/ctm/parades/-/parada/36086,,,,
1072,36087,Nova Cabana 1 (36087),,39.610172,2.684793,12410,https://www.tib.org/web/ctm/parades/-/parada/36087,,,,
1073,36088,Sa Cabana (36088),,39.60354,2.687226,12411,https://www.tib.org/web/ctm/parades/-/parada/36088,,,,
1074,36096,ASPACE 1 (36096),,39.647423,2.698623,12408,https://www.tib.org/web/ctm/parades/-/parada/36096,,,,
1075,10012,Hospital Joan March (10012),,39.67891,2.68937,12412,https://www.tib.org/web/ctm/parades/-/parada/10012,,,,
1076,10036,Cas Molí (10036),,39.650356,2.699153,12413,https://www.tib.org/web/ctm/parades/-/parada/10036,,,,
1077,10037,Cas Binissalemer (10037),,39.657497,2.702213,12414,https://www.tib.org/web/ctm/parades/-/parada/10037,,,,
