route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
234,L101-1_261325,649554,Palma,0,L101-1_SHP
234,L101-1_261325,649555,Palma,0,L101-1_SHP
234,L101-1_261325,649556,Palma,0,L101-1_SHP
234,L101-1_261325,649557,Palma,0,L101-1_SHP
234,L101-1_261325,649558,Palma,0,L101-1_SHP
234,L101-1_261325,649559,Palma,0,L101-1_SHP
234,L101-1_261325,649560,Palma,0,L101-1_SHP
234,L101-1_261325,649561,Palma,0,L101-1_SHP
234,L101-1_261325,649562,Palma,0,L101-1_SHP
234,L101-1_261325,649563,Palma,0,L101-1_SHP
234,L101-1_261325,649564,Palma,0,L101-1_SHP
234,L101-1_261325,649565,Palma,0,L101-1_SHP
234,L101-1_261325,649566,Palma,0,L101-1_SHP
234,L101-2_261326,649581,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649582,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649583,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649584,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649585,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649586,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649587,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649588,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649589,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649590,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649591,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649592,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649593,Port d'Andratx,1,L101-2_SHP
234,L101-2_261326,649594,Port d'Andratx,1,L101-2_SHP
234,L101-3_261327,649595,Palma,0,L101-3_SHP
234,L101-3_261327,649596,Palma,0,L101-3_SHP
234,L101-3_261327,649597,Palma,0,L101-3_SHP
234,L101-3_261328,649598,Palma,0,L101-3_SHP
234,L101-3_261328,649599,Palma,0,L101-3_SHP
234,L101-4_261329,649602,Port d'Andratx,1,L101-4_SHP
234,L101-4_261329,649603,Port d'Andratx,1,L101-4_SHP
237,L102-1_261336,649779,Palma,,L102-1_SHP
237,L102-1_261336,649780,Palma,,L102-1_SHP
237,L102-1_261336,649781,Palma,,L102-1_SHP
237,L102-1_261336,649782,Palma,,L102-1_SHP
237,L102-1_261336,649783,Palma,,L102-1_SHP
237,L102-1_261336,649784,Palma,,L102-1_SHP
237,L102-1_261336,649785,Palma,,L102-1_SHP
237,L102-1_261336,649786,Palma,,L102-1_SHP
237,L102-1_261336,649787,Palma,,L102-1_SHP
237,L102-1_261336,649788,Palma,,L102-1_SHP
237,L102-1_261336,649789,Palma,,L102-1_SHP
237,L102-1_261336,649790,Palma,,L102-1_SHP
237,L102-1_261336,649791,Palma,,L102-1_SHP
237,L102-1_261336,649792,Palma,,L102-1_SHP
237,L102-1_261336,649793,Palma,,L102-1_SHP
237,L102-1_261336,649794,Palma,,L102-1_SHP
237,L102-1_261336,649795,Palma,,L102-1_SHP
237,L102-1_261337,649817,Palma,,L102-1_SHP
237,L102-1_261337,649818,Palma,,L102-1_SHP
237,L102-1_261337,649819,Palma,,L102-1_SHP
237,L102-1_261337,649820,Palma,,L102-1_SHP
237,L102-1_261337,649821,Palma,,L102-1_SHP
237,L102-1_261337,649822,Palma,,L102-1_SHP
237,L102-1_261337,649823,Palma,,L102-1_SHP
237,L102-1_261337,649824,Palma,,L102-1_SHP
237,L102-1_261337,649825,Palma,,L102-1_SHP
237,L102-1_261337,649826,Palma,,L102-1_SHP
237,L102-1_261337,649827,Palma,,L102-1_SHP
237,L102-1_261337,649828,Palma,,L102-1_SHP
237,L102-1_261337,649829,Palma,,L102-1_SHP
237,L102-1_261337,649830,Palma,,L102-1_SHP
237,L102-1_261337,649831,Palma,,L102-1_SHP
237,L102-1_261337,649832,Palma,,L102-1_SHP
