stop_id,stop_name,stop_lat,stop_lon,zone_id
17,El Campello,38.4278488159,-0.3951399922,A T1
19,Poble Espanyol,38.4390983582,-0.3826220036,A T1
20,Amerador,38.4445495605,-0.3736779988,A T1
21,Coveta Fumà,38.450214386,-0.3643110096,A T1
22,Cala Piteres,38.4540290833,-0.3530350029,A T1
25,Venta Lanuza,38.4769096375,-0.3183999956,A T1
26,Paradís,38.5002441406,-0.2574119866,B T1
27,La Vila Joiosa,38.5057640076,-0.2367260009,B T1
28,Creueta,38.5101127625,-0.2315600067,B T1
29,Costera Pastor,38.5135879517,-0.219273001,B T1
30,Hospital Vila,38.5307998657,-0.1989820004,B
31,Cala Finestrat,38.5406532288,-0.1750539988,B
32,Terra Mitica,38.5467300415,-0.1590099931,B
33,Benidorm,38.5481071472,-0.1347540021,B
2,Alicante - Luceros,38.3459892273,-0.4906579852,A
3,Mercado,38.3482246399,-0.4846079946,A
4,MARQ - CASTILLO,38.3520126343,-0.4762830138,A
5,Sangueta,38.3519134521,-0.4678890109,A
6,La Isleta,38.3628768921,-0.4470359981,A
7,Albufereta,38.3667564392,-0.4425689876,A
8,Lucentum,38.3703613281,-0.4383940101,A
9,Condomina,38.374797821,-0.4287030101,A
51,Campo de Golf,38.3775482178,-0.4218559861,A
10,Costa Blanca,38.3791160583,-0.4111999869,A
11,Carrabiners,38.3886795044,-0.4083999991,A
12,Muchavista,38.3969993591,-0.4066999853,A
13,Les Llances,38.4051017761,-0.4041830003,A
14,Fabraquer,38.4123497009,-0.4019199908,A
15,Salesians,38.4160385132,-0.3977800012,A
16,Pla Barraques,38.4215316772,-0.3968800008,A T1
125,Benidorm Intermodal,38.548500061,-0.1229719967,B
114,La Goteta - Plaza Mar 2,38.3544998169,-0.4692499936,A
115,Bulevar del Pla,38.3600349426,-0.4722700119,A
116,Garbinet,38.362411499,-0.478309989,A
117,Hospital,38.3643455505,-0.4839000106,A
118,Maestro Alonso,38.3683204651,-0.4858480096,A
119,Pintor Gastón Castelló,38.3738708496,-0.4871000051,A
120,Virgen del Remedio,38.3765830994,-0.4906069934,A
121,Ciudad Jardín,38.3758277893,-0.4978109896,A
122,Santa Isabel,38.3818206787,-0.5043839812,A
123,Universitat,38.3871459961,-0.51098001,A
124,Sant Vicent del Raspeig,38.3921203613,-0.5169450045,A
103,Miriam Blasco,38.3689002991,-0.4353600144,A
104,Sergio Cardell,38.3647079468,-0.4322749972,A
105,Tridente,38.3622055054,-0.425146997,A
106,Av. Naciones,38.3623428345,-0.4203999937,A
107,Cabo Huertas / Cap de l'Horta,38.3625717163,-0.4147810042,A
108,Av. Benidorm / Platja de San Joan,38.3653488159,-0.4118750095,A
109,Londres,38.370174408,-0.4120030105,A
110,Plaza La Coruña,38.375415802,-0.4132139981,A
101,Porta del Mar,38.345085144,-0.4788149893,A
102,La Marina,38.3488922119,-0.4731850028,A
35,Camí Coves,38.5595397949,-0.1040150002,B
36,L'Alfàs del Pí,38.5676498413,-0.0928779989,B
37,El Albir,38.5763969421,-0.0796039999,B
38,Altea,38.5959205627,-0.0522219986,B T2
39,Garganes,38.6021957397,-0.0479670018,B T2
40,Cap Negret,38.610660553,-0.0408000015,B T2
41,Olla de Altea / l'Olla - Altea,38.6214103699,-0.0326750018,B T2
42,Calp,38.6499214172,0.0329779983,C T2
44,Benissa,38.7150688171,0.0766090006,C T2
45,Teulada,38.7292900085,0.0980290025,C
46,Gata,38.7753448486,0.0872839987,C
47,La Xara,38.8228721619,0.0638630018,C
48,Pedrera-Vessanes,38.8318173,0.1007474,C
49,Bosc de Diana,38.8347519,0.1071372,C
50,Dénia,38.8395347595,0.1127090007,C
111,Instituto,38.3768005371,-0.419178009,A
112,Paises Escandinavos,38.3725166321,-0.4199999869,A
113,Holanda,38.3681678772,-0.4198279977,A
