route_id,service_id,trip_id,trip_headsign,shape_id
A1-33-17,1130,886857,Benidorm,1
A1-2-17,1130,886628,Alicante - Luceros,2
A1-33-2,1130,886856,Benidorm,1
A1-2-17,1130,886627,Alicante - Luceros,2
A1-33-2,1130,886855,Benidorm,1
A1-3-17,1130,886626,Alicante - Luceros,1
A1-33-2,1130,886854,Benidorm Intermodal,1
A1-3-16,1130,886625,Alicante - Luceros,1
A1-33-2,1130,886853,Benidorm,1
A1-2-16,1130,886624,Alicante - Luceros,1
A1-125-2,1130,886852,Benidorm Intermodal,1
A1-2-33,1130,886623,Alicante - Luceros,2
A1-33-2,1130,886851,Benidorm,1
A1-2-33,1130,886622,Alicante - Luceros,2
A1-32-2,1130,886850,Benidorm,2
A1-2-33,1130,886621,Alicante - Luceros,2
A1-33-2,1130,886849,Benidorm,1
A1-2-125,1130,886620,Alicante - Luceros,2
A1-33-3,1130,886848,Benidorm,2
A1-2-33,1130,886619,Alicante - Luceros,2
A1-33-2,1130,886847,Benidorm,1
A1-2-125,1130,886618,Alicante - Luceros,2
A1-33-3,1130,886846,Benidorm,2
A1-2-33,1130,886617,Alicante - Luceros,2
A1-33-2,1130,886845,Benidorm,1
A1-2-33,1130,886616,Alicante - Luceros,2
A1-33-3,1130,886844,Benidorm,2
A1-2-33,1130,886615,Alicante - Luceros,2
A1-33-2,1130,886843,Benidorm,1
A1-2-33,1130,886614,Alicante - Luceros,2
A1-125-3,1130,886842,Benidorm Intermodal,2
A1-2-33,1130,886612,Alicante - Luceros,2
A1-33-3,1130,886841,Benidorm,2
A1-2-33,1130,886613,Alicante - Luceros,2
A1-125-3,1130,886839,Benidorm Intermodal,2
A1-2-33,1130,886611,Alicante - Luceros,2
A1-33-2,1130,886840,Benidorm,1
A1-2-33,1130,886609,Alicante - Luceros,2
A1-33-2,1130,886838,Benidorm,1
A1-2-33,1130,886610,Alicante - Luceros,2
A1-33-2,1130,886837,Benidorm,1
A1-2-125,1130,886608,Alicante - Luceros,2
A1-33-2,1130,886836,Benidorm,1
A1-2-33,1130,886607,Alicante - Luceros,2
A1-32-3,1130,886835,Benidorm,2
A1-2-125,1130,886606,Alicante - Luceros,2
A1-33-2,1130,886834,Benidorm,1
A1-2-33,1130,886605,Alicante - Luceros,2
A1-33-2,1130,886833,Benidorm,1
A1-2-33,1130,886603,Alicante - Luceros,2
A1-125-3,1130,886831,Benidorm Intermodal,2
A1-2-33,1130,886604,Alicante - Luceros,2
A1-33-2,1130,886832,Benidorm,1
A1-2-33,1130,886602,Alicante - Luceros,2
A1-125-3,1130,886829,Benidorm Intermodal,2
A1-2-33,1130,886600,Alicante - Luceros,2
A1-33-2,1130,886830,Benidorm,1
A1-2-33,1130,886601,Alicante - Luceros,2
A1-32-3,1130,886828,Benidorm,2
A1-2-33,1130,886599,Alicante - Luceros,2
A1-33-2,1130,886827,Benidorm,1
A1-2-125,1130,886597,Alicante - Luceros,2
A1-33-2,1130,886826,Benidorm,1
A1-2-33,1130,886598,Alicante - Luceros,2
A1-32-3,1130,886825,Benidorm,2
A1-3-125,1130,886596,Alicante - Luceros,1
A1-33-2,1130,886824,Benidorm,1
A1-2-33,1130,886595,Alicante - Luceros,2
A1-33-2,1130,886823,Benidorm,1
A1-2-33,1130,886593,Alicante - Luceros,2
A1-17-2,1130,886822,El Campello,1
A1-2-33,1130,886594,Alicante - Luceros,2
A1-17-2,1130,886821,El Campello,1
A1-2-33,1130,886592,Alicante - Luceros,2
A1-17-2,1130,886820,El Campello,1
A1-19-33,1130,886590,El Campello,2
A1-17-33,1130,886591,El Campello,2
A1-17-33,1130,886589,El Campello,2
A2-124-2,1130,886818,Sant Vicent del Raspeig,23
A2-2-123,1130,886587,Alicante - Luceros,23
A2-124-2,1130,886819,Sant Vicent del Raspeig,23
A2-2-124,1130,886588,Alicante - Luceros,24
A2-124-2,1130,886817,Sant Vicent del Raspeig,23
A2-2-124,1130,886586,Alicante - Luceros,24
A2-124-3,1130,886816,Sant Vicent del Raspeig,24
A2-2-124,1130,886585,Alicante - Luceros,24
A2-123-3,1130,886814,Sant Vicent del Raspeig,24
A2-2-124,1130,886583,Alicante - Luceros,24
A2-124-2,1130,886815,Sant Vicent del Raspeig,23
A2-2-124,1130,886584,Alicante - Luceros,24
A2-124-2,1130,886813,Sant Vicent del Raspeig,23
A2-2-124,1130,886582,Alicante - Luceros,24
A2-124-2,1130,886812,Sant Vicent del Raspeig,23
A2-2-124,1130,886581,Alicante - Luceros,24
A2-124-3,1130,886811,Sant Vicent del Raspeig,24
A2-2-124,1130,886580,Alicante - Luceros,24
A2-2-124,1130,886579,Alicante - Luceros,24
A2-124-2,1130,886809,Sant Vicent del Raspeig,23
A2-2-124,1130,886578,Alicante - Luceros,24
A2-123-3,1130,886808,Sant Vicent del Raspeig,24
A2-2-124,1130,886577,Alicante - Luceros,24
A2-124-2,1130,886807,Sant Vicent del Raspeig,23
A2-2-124,1130,886576,Alicante - Luceros,24
A2-124-2,1130,886806,Sant Vicent del Raspeig,23
A2-2-124,1130,886575,Alicante - Luceros,24
A2-124-2,1130,886805,Sant Vicent del Raspeig,23
A2-2-124,1130,886574,Alicante - Luceros,24
A2-124-2,1130,886804,Sant Vicent del Raspeig,23
A2-2-124,1130,886573,Alicante - Luceros,24
A2-124-2,1130,886803,Sant Vicent del Raspeig,23
A2-2-124,1130,886572,Alicante - Luceros,24
A2-124-2,1130,886802,Sant Vicent del Raspeig,23
A2-2-124,1130,886571,Alicante - Luceros,24
A2-124-2,1130,886801,Sant Vicent del Raspeig,23
A2-2-124,1130,886570,Alicante - Luceros,24
A2-124-2,1130,886800,Sant Vicent del Raspeig,23
A2-2-124,1130,886569,Alicante - Luceros,24
