network,station_name,station_lat,station_lon,lines,num_platforms,platform_coords
Metro Bilbao,Abando,43.261400,-2.927610,L1/L2,4,"43.26144,-2.9282|43.26203,-2.92804|43.26134,-2.92783|43.26078,-2.92746"
Metro Bilbao,Abatxolo,43.314360,-3.013570,L1/L2,3,"43.31376,-3.01251|43.31488,-3.01327|43.31465,-3.01366"
Metro Bilbao,Aiboa,43.344140,-3.002670,L1/L2,2,"43.34359,-3.00288|43.34359,-3.00288"
Metro Bilbao,Algorta,43.350450,-3.009350,L1/L2,3,"43.35078,-3.00946|43.34988,-3.0091|43.35102,-3.00957"
Metro Bilbao,Ansio,43.289190,-2.987160,L1/L2,1,"43.28975,-2.98699"
Metro Bilbao,Areeta,43.325950,-3.009610,L1/L2,3,"43.32637,-3.01017|43.32651,-3.0104|43.32548,-3.00885"
Metro Bilbao,Ariz,43.238010,-2.882030,L1/L2,3,"43.23767,-2.88255|43.23784,-2.88355|43.23798,-2.88125"
Metro Bilbao,Astrabudua,43.314630,-2.986810,L1/L2,2,"43.31448,-2.98677|43.31482,-2.98681"
Metro Bilbao,Bagatza,43.298850,-2.992680,L1/L2,3,"43.29849,-2.99262|43.29834,-2.99352|43.29973,-2.99318"
Metro Bilbao,Barakaldo,43.295630,-2.989360,L1/L2,4,"43.29531,-2.9889|43.29623,-2.98903|43.2953,-2.98824|43.29465,-2.989"
Metro Bilbao,Basarrate,43.251160,-2.910820,L1/L2,2,"43.25077,-2.91057|43.25062,-2.91147"
Metro Bilbao,Basauri,43.236240,-2.893400,L1/L2,3,"43.23753,-2.89476|43.23656,-2.89457|43.23521,-2.89202"
Metro Bilbao,Berango,43.367040,-2.999490,L1/L2,1,"43.36676,-2.99942"
Metro Bilbao,Bidezabal,43.356440,-3.011270,L1/L2,3,"43.35694,-3.01166|43.35698,-3.01177|43.35682,-3.01148"
Metro Bilbao,Bolueta,43.247000,-2.905730,L1/L2,2,"43.247,-2.9055|43.24709,-2.9059"
Metro Bilbao,Deustu,43.271450,-2.949540,L1/L2,3,"43.27182,-2.94947|43.27049,-2.94939|43.27186,-2.94859"
Metro Bilbao,Erandio,43.303380,-2.974370,L1/L2,1,"43.30379,-2.97447"
Metro Bilbao,Etxebarri,43.243860,-2.897710,L1/L2,2,"43.24387,-2.89668|43.24467,-2.89696"
Metro Bilbao,Gobela,43.333080,-3.007350,L1/L2,1,"43.3336,-3.00704"
Metro Bilbao,Gurutzeta/Cruces,43.283010,-2.982450,L1/L2,3,"43.2832,-2.98296|43.28231,-2.98269|43.28358,-2.98132"
Metro Bilbao,Ibarbengoa,43.363200,-3.006990,L1/L2,2,"43.36317,-3.00667|43.36263,-3.00784"
Metro Bilbao,Indautxu,43.261270,-2.941790,L1/L2,3,"43.26125,-2.94234|43.26066,-2.94273|43.2608,-2.94001"
Metro Bilbao,Kabiezes,43.322380,-3.037770,L1/L2,3,"43.32231,-3.03661|43.32224,-3.03726|43.32253,-3.03896"
Metro Bilbao,Lamiako,43.321330,-3.001020,L1/L2,3,"43.32142,-3.00159|43.32162,-3.00145|43.32119,-3.00033"
Metro Bilbao,Larrabasterra,43.375730,-2.991470,L1/L2,2,"43.37555,-2.99134|43.37565,-2.99188"
Metro Bilbao,Leioa,43.317880,-2.991680,L1/L2,2,"43.31799,-2.99203|43.31797,-2.99244"
Metro Bilbao,Lutxana,43.290980,-2.969920,L1/L2,2,"43.29113,-2.97005|43.29136,-2.96983"
Metro Bilbao,Moyua,43.262590,-2.933080,L1/L2,4,"43.26267,-2.93377|43.26194,-2.93254|43.26262,-2.93454|43.26316,-2.93432"
Metro Bilbao,Neguri,43.340240,-3.005620,L1/L2,2,"43.34035,-3.00631|43.34014,-3.00563"
Metro Bilbao,Peñota,43.321980,-3.025400,L1/L2,3,"43.322,-3.02593|43.32316,-3.02489|43.32201,-3.02453"
Metro Bilbao,Plentzia,43.401340,-2.946360,L1/L2,1,"43.40162,-2.94658"
Metro Bilbao,Portugalete,43.317770,-3.020760,L1/L2,3,"43.31795,-3.02144|43.31809,-3.02212|43.31796,-3.01981"
Metro Bilbao,San Ignazio,43.280680,-2.962390,L1/L2,5,"43.28137,-2.96265|43.28147,-2.963|43.27993,-2.96214|43.28002,-2.96187|43.28144,-2.96246"
Metro Bilbao,Santimami/San Mamés,43.262520,-2.947510,L1/L2,3,"43.26254,-2.94819|43.26136,-2.94885|43.26274,-2.9461"
Metro Bilbao,Santurtzi,43.328950,-3.034210,L1/L2,4,"43.32923,-3.03426|43.32857,-3.03476|43.32968,-3.03398|43.33167,-3.03812"
Metro Bilbao,Santutxu,43.254300,-2.913350,L1/L2,3,"43.25383,-2.91343|43.25407,-2.91472|43.25547,-2.91312"
Metro Bilbao,Sarriko,43.274950,-2.958740,L1/L2,1,"43.27441,-2.95807"
Metro Bilbao,Sestao,43.309120,-3.005670,L1/L2,4,"43.30934,-3.00663|43.31029,-3.00575|43.30952,-3.00728|43.30867,-3.00426"
Metro Bilbao,Sopela,43.380210,-2.978990,L1/L2,2,"43.38017,-2.97879|43.38024,-2.97926"
Metro Bilbao,Urbinaga,43.305700,-2.992600,L1/L2,1,"43.30593,-2.99238"
Metro Bilbao,Urduliz,43.379000,-2.958110,L1/L2,2,"43.37865,-2.95905|43.37874,-2.95883"
Metro Bilbao,Zazpikaleak/Casco Viejo,43.259680,-2.920710,L1/L2,3,"43.26024,-2.91987|43.25997,-2.92214|43.25863,-2.92163"
Euskotren,Abando,43.261052,-2.926658,,1,"43.261052,-2.926658"
Euskotren,Abandoibarra,43.268585,-2.940700,,2,"43.268585,-2.9407|43.268585,-2.9407"
