network,transport_type,stop_name,lat,lon,lines,cor_metro_bilbao,cor_metro_madrid,cor_fgc,cor_renfe_cercanias,cor_euskotren,platform_coords_by_line
Euskotren,tranvia,Atxuri,43.254113,-2.921513,TR,,,,,,"TR:[43.254113,-2.921513]"
Euskotren,tranvia,Uribitarte,43.266303,-2.928733,TR,,,,,,"TR:[43.266303,-2.928733]"
Euskotren,tranvia,San Mames,43.261742,-2.948939,TR,Santimami/San Mamés (144m),,,San Mamés (24m),,"TR:[43.261742,-2.948939]"
Euskotren,tranvia,Abando,43.261052,-2.926658,TR,Abando (86m),,,Bilbao La Concordia (98m); Bilbao-Intermod. Abando Indalecio Prieto (184m),,"TR:[43.261052,-2.926658]"
Euskotren,tranvia,Hospital/Ospitalea,43.259796,-2.951244,TR,,,,Basurto Hospital (209m); San Mamés (274m),,"TR:[43.259796,-2.951244]"
Euskotren,tranvia,Ribera,43.255795,-2.924369,TR,,,,,,"TR:[43.255795,-2.924369]"
Euskotren,tranvia,Sabino Arana,43.263192,-2.946222,TR,Santimami/San Mamés (128m),,,San Mamés (280m),,"TR:[43.263192,-2.946222]"
Euskotren,tranvia,Abandoibarra,43.268585,-2.940700,TR,,,,,,"TR:[43.268585,-2.940700]"
Euskotren,tranvia,Guggenheim,43.268700,-2.936763,TR,,,,,,"TR:[43.268700,-2.936763]"
Euskotren,tranvia,La Casilla,43.257767,-2.944349,TR,,,,Autonomía (142m),,"TR:[43.257767,-2.944349]"
Euskotren,tranvia,Pio Baroja,43.264483,-2.926262,TR,,,,,,"TR:[43.264483,-2.926262]"
Euskotren,tranvia,Euskalduna,43.266261,-2.943894,TR,,,,,,"TR:[43.266261,-2.943894]"
Euskotren,tranvia,Arriaga,43.259070,-2.925938,TR,Abando (292m),,,Bilbao La Concordia (129m); Bilbao-Intermod. Abando Indalecio Prieto (242m),,"TR:[43.259070,-2.925938]"
Euskotren,tranvia,Basurto,43.257993,-2.949072,TR,,,,Autonomía (246m),,"TR:[43.257993,-2.949072]"
Euskotren,tranvia,Gernikako Arbola,42.864820,-2.680860,TG1,,,,,,"TG1:[42.864820,-2.680860]"
Euskotren,tranvia,Abetxuko,42.876277,-2.679599,TG1,,,,,,"TG1:[42.876277,-2.679599]"
Euskotren,tranvia,Lovaina,42.846246,-2.678510,41; TG1; TG2,,,,,,"41:[42.846246,-2.678510]; TG2:[42.846246,-2.678510]; TG1:[42.846246,-2.678510]"
Euskotren,tranvia,Landaberde,42.866206,-2.698489,41; TG2,,,,,,"41:[42.866206,-2.698489]; TG2:[42.866206,-2.698489]"
Euskotren,tranvia,Forondako Atea/Portal De Foronda,42.862903,-2.684497,TG1,,,,,,"TG1:[42.862903,-2.684497]"
Euskotren,tranvia,Legebiltzarra/Parlamento,42.845328,-2.674377,41; TG1; TG2,,,,,,"41:[42.845328,-2.674377]; TG2:[42.845328,-2.674377]; TG1:[42.845328,-2.674377]"
Euskotren,tranvia,Ibaiondo,42.864798,-2.702087,41; TG2,,,,,,"41:[42.864798,-2.702087]; TG2:[42.864798,-2.702087]"
Euskotren,tranvia,Europa,42.852541,-2.680251,41; TG1; TG2,,,,,,"41:[42.852541,-2.680251]; TG2:[42.852541,-2.680251]; TG1:[42.852541,-2.680251]"
Euskotren,tranvia,Lakuabizkarra,42.863127,-2.694579,41; TG2,,,,,,"41:[42.863127,-2.694579]; TG2:[42.863127,-2.694579]"
Euskotren,tranvia,Kristo,42.874085,-2.677600,TG1,,,,,,"TG1:[42.874085,-2.677600]"
Euskotren,tranvia,Artapadura,42.869514,-2.680272,TG1,,,,,,"TG1:[42.869514,-2.680272]"
Euskotren,tranvia,Arriaga,42.866638,-2.678658,TG1,,,,,,"TG1:[42.866638,-2.678658]"
Euskotren,tranvia,Intermodal,42.860360,-2.682798,TG1,,,,,,"TG1:[42.860360,-2.682798]"
Euskotren,tranvia,Honduras,42.857247,-2.681146,41; TG1; TG2,,,,,,"41:[42.857247,-2.681146]; TG2:[42.857247,-2.681146]; TG1:[42.857247,-2.681146]"
Euskotren,tranvia,Angulema,42.843360,-2.667699,41; TG1; TG2,,,,,,"41:[42.843360,-2.667699]; TG2:[42.843360,-2.667699]; TG1:[42.843360,-2.667699]"
Euskotren,tranvia,Euskal Herria,42.858060,-2.685054,41; TG2,,,,,,"41:[42.858060,-2.685054]; TG2:[42.858060,-2.685054]"
Euskotren,tranvia,Antso Jakituna/Sancho El Sabio,42.848114,-2.679946,41; TG1; TG2,,,,,,"41:[42.848114,-2.679946]; TG2:[42.848114,-2.679946]; TG1:[42.848114,-2.679946]"
Euskotren,tranvia,Wellington,42.859950,-2.692320,41; TG2,,,,,,"41:[42.859950,-2.692320]; TG2:[42.859950,-2.692320]"
Euskotren,tranvia,Kañabenta,42.873816,-2.681260,TG1,,,,,,"TG1:[42.873816,-2.681260]"
Euskotren,tranvia,Txagorritxu,42.856916,-2.689028,41; TG2,,,,,,"41:[42.856916,-2.689028]; TG2:[42.856916,-2.689028]"
Euskotren,funicular,La Escontrilla,43.301233,-3.042030,FE,,,,,,"FE:[43.301233,-3.042030]"
Euskotren,funicular,Larreineta,43.292442,-3.049087,FE,,,,,,"FE:[43.292442,-3.049087]"
Euskotren,tren,Lutxana-Erandio,43.291318,-2.969768,E3a,Lutxana (39m),,,,,"E3a:[43.291154,-2.969765]"
Euskotren,tren,Zazpikaleak/Casco Viejo-Bilbao,43.259983,-2.922197,E1; E3; E4; FCC; L3,Zazpikaleak/Casco Viejo (125m),,,,,"FCC:[43.260176,-2.921842]; E3:[43.260176,-2.921842|43.260210,-2.921805]; E1:[43.260176,-2.921842|43.260210,-2.921805]; E4:[43.260176,-2.921842]; L3:[43.260210,-2.921805]"
Euskotren,tren,Bermeo,43.417771,-2.723233,E4; FCC,,,,,,"FCC:[43.417659,-2.723231]; E4:[43.417659,-2.723231]"
Euskotren,tren,Lasarte-Oria,43.270645,-2.020122,E2; FCC,,,,,,"FCC:[43.271043,-2.020272]; E2:[43.271043,-2.020272]"
Euskotren,tren,Amara-Donostia,43.313179,-1.981685,E1; E2; E5; FCC,,,,,,"E5:[43.312394,-1.981561|43.312781,-1.981583]; FCC:[43.312394,-1.981561]; E2:[43.312394,-1.981561|43.312781,-1.981583]; E1:[43.312394,-1.981561]"
Euskotren,tren,Hendaia,43.352637,-1.781958,E2,,,,,,"E2:[43.352477,-1.782269]"
Euskotren,tren,San Pelaio-Zarautz,43.283471,-2.160199,E1; FCC,,,,,,"FCC:[43.283477,-2.159935]; E1:[43.283477,-2.159935]"
Euskotren,tren,Ola-Sondika,43.291849,-2.925227,E3; FCC,,,,,,"FCC:[43.291844,-2.925072]; E3:[43.291844,-2.925072]"
Euskotren,tren,Amorebieta Geralekua,43.221820,-2.734876,E4; FCC,,,,,,"FCC:[43.221718,-2.735128]; E4:[43.221718,-2.735128]"
Euskotren,tren,Lemoa,43.207092,-2.775247,E1; E4; FCC,,,,,,"FCC:[43.207099,-2.775422]; E1:[43.207099,-2.775422]; E4:[43.207099,-2.775422]"
Euskotren,tren,Lurgorri-Gernika,43.306722,-2.680315,E4; FCC,,,,,,"FCC:[43.306617,-2.680377]; E4:[43.306617,-2.680377]"
Euskotren,tren,Irun,43.341205,-1.796055,E2,,,,,,"E2:[43.341377,-1.795883|43.341409,-1.795980]"
Euskotren,tren,Anoeta-Donostia,43.302085,-1.975353,E2; E5; FCC,,,,,,"E5:[43.302124,-1.975369]; FCC:[43.302124,-1.975369]; E2:[43.302124,-1.975369]"
Euskotren,tren,Etxebarri,43.245623,-2.891068,E1; E4; FCC,,,,,,"FCC:[43.245392,-2.890708]; E1:[43.245385,-2.890944|43.245392,-2.890708]; E4:[43.245392,-2.890708]"
Euskotren,tren,Aia-Orio,43.274231,-2.125866,E1; FCC,,,,,,"FCC:[43.274211,-2.126171]; E1:[43.274211,-2.126171]"
Euskotren,tren,Institutoa-Gernika,43.319882,-2.676842,E4; FCC,,,,,,"FCC:[43.319910,-2.676826]; E4:[43.319910,-2.676826]"
Euskotren,tren,Unibertsitatea-Eibar,43.180662,-2.487442,E1,,,,,,"E1:[43.180683,-2.487378|43.180598,-2.487510]"
Euskotren,tren,Sondika,43.298293,-2.927764,E3; E3a; FCC,,,,,,"FCC:[43.298278,-2.928255]; E3:[43.298278,-2.928255|43.298351,-2.928092]; E3a:[43.298351,-2.928092]"
Euskotren,tren,Muxika,43.286788,-2.689493,E4; FCC,,,,,,"FCC:[43.286718,-2.689477]; E4:[43.286718,-2.689477]"
Euskotren,tren,Matiko-Bilbao,43.268919,-2.925007,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.268994,-2.925550]; E3:[43.269054,-2.925537|43.268994,-2.925550]; E1:[43.269054,-2.925537|43.268994,-2.925550]; E4:[43.268994,-2.925550]; L3:[43.269054,-2.925537]"
Euskotren,tren,Zuhatzu-Galdakao,43.228896,-2.853572,E1; E4; FCC,,,,,,"FCC:[43.228832,-2.854063]; E1:[43.228744,-2.854032|43.228832,-2.854063]; E4:[43.228832,-2.854063]"
Euskotren,tren,Itsasbegi-Busturia,43.391100,-2.693867,E4; FCC,,,,,,"FCC:[43.390987,-2.693788]; E4:[43.390987,-2.693788]"
Euskotren,tren,Berriz,43.168405,-2.574515,E1; FCC,,,,,,"FCC:[43.168470,-2.574475]; E1:[43.168413,-2.574413|43.168470,-2.574475]"
Euskotren,tren,Larrondo-Loiu,43.294299,-2.915778,E3; FCC,,,,,,"FCC:[43.294342,-2.915939]; E3:[43.294300,-2.915560|43.294342,-2.915939]"
Euskotren,tren,Errotabarri-Ermua,43.183140,-2.498927,E1,,,,,,"E1:[43.183154,-2.498774]"
Euskotren,tren,Traña-Abadiño,43.165337,-2.612701,E1; FCC,,,,,,"FCC:[43.165119,-2.611999]; E1:[43.165119,-2.611999|43.165060,-2.612084]"
Euskotren,tren,Zumaia,43.291603,-2.251818,E1; FCC,,,,,,"FCC:[43.291570,-2.251655]; E1:[43.291570,-2.251655]"
Euskotren,tren,Euba-Amorebieta,43.194827,-2.696740,E1; FCC,,,,,,"FCC:[43.194602,-2.696809]; E1:[43.194602,-2.696809|43.194532,-2.696881]"
Euskotren,tren,Lezama,43.273257,-2.835634,E3; FCC,,,,,,"FCC:[43.273509,-2.835955]; E3:[43.273509,-2.835955]"
Euskotren,tren,Loiola-Donostia,43.310096,-1.968305,E2; E5; FCC,,,,,,"E5:[43.310455,-1.968129|43.310392,-1.968091]; FCC:[43.310392,-1.968091]; E2:[43.310455,-1.968129|43.310392,-1.968091]"
Euskotren,tren,Txurdinaga-Bilbao,43.258051,-2.906729,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.258070,-2.906710]; E3:[43.258070,-2.906710]; E1:[43.258070,-2.906710]; E4:[43.258070,-2.906710]; L3:[43.258070,-2.906710]"
Euskotren,tren,Galtzaraborda-Errenteria,43.312407,-1.906850,E2,,,,,,"E2:[43.312364,-1.906789|43.312398,-1.906808]"
Euskotren,tren,Zangroiz-Sondika,43.300349,-2.940859,E3a,,,,,,"E3a:[43.300303,-2.940957]"
Euskotren,tren,Oiartzun,43.308619,-1.879725,E2,,,,,,"E2:[43.308662,-1.879714]"
Euskotren,tren,Arroa-Zestoa,43.278008,-2.270856,E1,,,,,,"E1:[43.278328,-2.270813]"
Euskotren,tren,Derio,43.290827,-2.887276,E3; FCC,,,,,,"FCC:[43.290916,-2.887485]; E3:[43.290916,-2.887485]"
Euskotren,tren,Axpe-Busturia,43.380106,-2.693181,E4; FCC,,,,,,"FCC:[43.380121,-2.693045]; E4:[43.380121,-2.693045]"
Euskotren,tren,Mundaka,43.408870,-2.700911,E4; FCC,,,,,,"FCC:[43.408842,-2.701085]; E4:[43.408842,-2.701085]"
Euskotren,tren,Zurbaranbarri-Bilbao,43.264911,-2.914977,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.264950,-2.914971]; E3:[43.264950,-2.914971]; E1:[43.264950,-2.914971]; E4:[43.264950,-2.914971]; L3:[43.264950,-2.914971]"
Euskotren,tren,Durango,43.169457,-2.634787,E1; FCC,,,,,,"FCC:[43.169488,-2.634781]; E1:[43.169488,-2.634781]"
Euskotren,tren,Eibar,43.186939,-2.465641,E1,,,,,,"E1:[43.187135,-2.465416|43.187138,-2.465732]"
Euskotren,tren,Bedia,43.206171,-2.798030,E1; E4; FCC,,,,,,"FCC:[43.206160,-2.797581]; E1:[43.206160,-2.797581|43.206089,-2.797610]; E4:[43.206160,-2.797581]"
Euskotren,tren,Lugaritz-Donostia,43.302417,-2.000701,E1; E2; FCC,,,,,,"FCC:[43.302499,-2.000706]; E2:[43.302499,-2.000706]; E1:[43.302499,-2.000706]"
Euskotren,tren,Elgoibar,43.213608,-2.415941,E1,,,,,,"E1:[43.213428,-2.416005]"
Euskotren,tren,Herrera-Donostia,43.319883,-1.937971,E2; E5; FCC,,,,Herrera (97m),,"E5:[43.319817,-1.938105]; FCC:[43.319817,-1.938105]; E2:[43.319817,-1.938105]"
Euskotren,tren,Fanderia-Errenteria,43.308228,-1.889437,E2,,,,,,"E2:[43.308263,-1.889238]"
Euskotren,tren,Altzola-Elgoibar,43.235874,-2.399523,E1,,,,,,"E1:[43.235866,-2.399513]"
Euskotren,tren,San Lorentzo-Ermua,43.179425,-2.495861,E1,,,,,,"E1:[43.179443,-2.495737]"
Euskotren,tren,Elotxelerri-Loiu,43.294479,-2.905664,E3; FCC,,,,,,"FCC:[43.294429,-2.905925]; E3:[43.294429,-2.905925]"
Euskotren,tren,Altza-Donostia,43.316946,-1.930062,E5; FCC,,,,,,"E5:[43.316955,-1.930058]; FCC:[43.316955,-1.930058]"
Euskotren,tren,Bentak-Irun,43.330398,-1.816814,E2,,,,Ventas De Irún (3m),,"E2:[43.330332,-1.817012|43.330410,-1.817055]"
Euskotren,tren,Deba,43.293616,-2.355378,E1,,,,,,"E1:[43.294045,-2.355531]"
Euskotren,tren,Amaña-Eibar,43.184398,-2.480569,E1,,,,,,"E1:[43.184597,-2.480531]"
Euskotren,tren,Belaskoenea-Irun,43.336498,-1.803270,E2,,,,,,"E2:[43.336525,-1.803769]"
Euskotren,tren,Amorebieta Geltokia,43.216878,-2.736627,E1; E4; FCC,,,,,,"FCC:[43.216702,-2.736223]; E1:[43.216606,-2.736301|43.216702,-2.736223]; E4:[43.216702,-2.736223]"
Euskotren,tren,Kurtzea-Lezama,43.276579,-2.846344,E3; FCC,,,,,,"FCC:[43.276584,-2.846415]; E3:[43.276584,-2.846415|43.276627,-2.846307]"
Euskotren,tren,Kukullaga-Etxebarri,43.251142,-2.889764,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.251034,-2.889611]; E3:[43.250996,-2.889755|43.251034,-2.889611]; E1:[43.250996,-2.889755|43.251034,-2.889611]; E4:[43.251034,-2.889611]; L3:[43.250996,-2.889755]"
Euskotren,tren,Azitain-Eibar,43.190407,-2.454190,E1,,,,,,"E1:[43.190411,-2.454957]"
Euskotren,tren,Uribarri-Bilbao,43.267102,-2.921277,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.267223,-2.921325]; E3:[43.267223,-2.921325]; E1:[43.267223,-2.921325]; E4:[43.267223,-2.921325]; L3:[43.267223,-2.921325]"
Euskotren,tren,Zamudio,43.284342,-2.864839,E3; FCC,,,,,,"FCC:[43.284282,-2.865212]; E3:[43.284282,-2.865212]"
Euskotren,tren,Forua,43.332384,-2.673426,E4; FCC,,,,,,"FCC:[43.332041,-2.673636]; E4:[43.332041,-2.673636]"
Euskotren,tren,Gernika,43.314559,-2.676106,E4; FCC,,,,,,"FCC:[43.314085,-2.676208]; E4:[43.314085,-2.676208]"
Euskotren,tren,Ariz-Basauri,43.240313,-2.879282,E1; E4; FCC,,,,,,"FCC:[43.239970,-2.879000]; E1:[43.239970,-2.879000|43.239954,-2.879121]; E4:[43.239970,-2.879000]"
Euskotren,tren,Añorga-Donostia,43.291513,-1.994673,E1; E2; FCC,,,,,,"FCC:[43.291618,-1.994592]; E2:[43.291618,-1.994592]; E1:[43.291618,-1.994592]"
Euskotren,tren,Intxaurrondo-Donostia,43.314909,-1.954756,E2; E5; FCC,,,,,,"E5:[43.314087,-1.954786|43.314244,-1.954914]; FCC:[43.314244,-1.954914]; E2:[43.314087,-1.954786|43.314244,-1.954914]"
Euskotren,tren,Ficoba-Irun,43.349495,-1.786201,E2,,,,,,"E2:[43.348964,-1.786877]"
Euskotren,tren,Mendaro,43.252152,-2.387913,E1,,,,,,"E1:[43.252281,-2.388031]"
Euskotren,tren,Errekalde-Donostia,43.278846,-2.007148,E1; E2; FCC,,,,,,"FCC:[43.278740,-2.007477]; E2:[43.278740,-2.007477]; E1:[43.278740,-2.007477]"
Euskotren,tren,Lekunbiz-Zamudio,43.286699,-2.874526,E3; FCC,,,,,,"FCC:[43.286718,-2.874588]; E3:[43.286718,-2.874588]"
Euskotren,tren,Usurbil,43.268748,-2.052937,E1; FCC,,,,,,"FCC:[43.268631,-2.052824]; E1:[43.268631,-2.052824]"
Euskotren,tren,Gaintxurizketa-Lezo,43.326710,-1.857557,E2,,,,,,"E2:[43.326637,-1.857836|43.326663,-1.857643]"
Euskotren,tren,Zaldibar,43.171641,-2.547899,E1; FCC,,,,,,"FCC:[43.171629,-2.548298]; E1:[43.171629,-2.548298]"
Euskotren,tren,Ardantza-Eibar,43.184641,-2.473832,E1,,,,,,"E1:[43.184739,-2.473875]"
Euskotren,tren,Zugaztieta-Muxika,43.252154,-2.692748,E4; FCC,,,,,,"FCC:[43.252165,-2.692708]; E4:[43.252165,-2.692708]"
Euskotren,tren,Toletxegain-Elgoibar,43.217481,-2.409036,E1,,,,,,"E1:[43.217788,-2.408536]"
Euskotren,tren,San Kristobal-Busturia,43.367813,-2.690337,E4; FCC,,,,,,"FCC:[43.367768,-2.690299]; E4:[43.367768,-2.690299]"
Euskotren,tren,Usansolo,43.217819,-2.821656,E1; E4; FCC,,,,,,"FCC:[43.217648,-2.821493]; E1:[43.217620,-2.821632|43.217648,-2.821493]; E4:[43.217648,-2.821493]"
Euskotren,tren,Otxarkoaga-Bilbao,43.259503,-2.900123,E1; E3; E4; FCC; L3,,,,,,"FCC:[43.259593,-2.900150]; E3:[43.259593,-2.900150]; E1:[43.259593,-2.900150]; E4:[43.259593,-2.900150]; L3:[43.259593,-2.900150]"
Euskotren,tren,Zarautz,43.284252,-2.171450,E1; FCC,,,,,,"FCC:[43.284259,-2.171231]; E1:[43.284259,-2.171231]"
Euskotren,tren,Errenteria,43.311307,-1.899174,E2,,,,,,"E2:[43.311104,-1.899056|43.311137,-1.898980]"
