station_name,line,lat,lon
Aeroport T1,L9 Sud,41.2881377,2.0709785
Aeroport T2,L9 Sud,41.3038431,2.0731115
Alfons X,L4,41.4121246,2.1654999
Almeda,L8,41.3530212,2.0845168
Artigues | Sant Adrià,L2,41.4337665,2.2175494
Avinguda Carrilet,L1,41.3589061,2.1024583
Avinguda Carrilet,L8,41.3579109,2.1029168
Avinguda Tibidabo,L7,41.4093962,2.1372972
Bac de Roda,L2,41.4148972,2.1950851
Badal,L5,41.3756036,2.1273397
Badalona Pompeu Fabra,L2,41.4489777,2.2441951
Baixador de Vallvidrera,S1,41.4203449,2.0966407
Baixador de Vallvidrera,S2,41.4198107,2.0972285
Barcelona - Arc de Triomf,L1,41.3922405,2.1807685
Barceloneta,L4,41.3820417,2.1854434
Baró de Viver,L1,41.4499653,2.1995304
Bellaterra,S2,41.5002129,2.0900205
Bellaterra,Unknown,41.5002129,2.0900205
Bellvitge Rambla Marina,L1,41.3509598,2.1109173
Besòs,L4,41.420455,2.2096695
Besòs Mar,L4,41.4150907,2.2161248
Bogatell,L4,41.3951757,2.1921294
Bon Pastor,L10 Nord,41.4361564,2.2047953
Bon Pastor,L9 Nord,41.4361564,2.2047953
Camp de l'Arpa,L5,41.4147045,2.1809697
Can Boixeres,L5,41.3665746,2.0914689
Can Cuiàs,L11,41.4623308,2.1730902
Can Feu | Gràcia,S2,41.5423093,2.0995277
Can Peixauet,L9 Nord,41.4445539,2.2103176
Can Serra,L1,41.367709,2.1027424
Can Tries - Gornal,L10 Sud,41.3608871,2.1181446
Can Tries - Gornal,L9 Sud,41.3608396,2.1181346
Can Vidalet,L5,41.3717402,2.0997285
Can Zam,L9 Nord,41.4576829,2.1985571
Canyelles,L3,41.4417043,2.1663983
Casa de l'Aigua,L11,41.4511202,2.1847194
Catalunya,L1,41.3876742,2.1692498
Catalunya,L3,41.3869278,2.1700914
Ciutadella | Vila Olímpica,L4,41.3866663,2.1929982
Ciutat Meridiana,L11,41.4608134,2.1746409
Ciutat de la Justícia,L10 Sud,41.3633067,2.1333144
Collblanc,L10 Sud,41.3758026,2.1184197
Collblanc,L5,41.3757755,2.1188588
Collblanc,L9 Sud,41.3758075,2.1183733
Congrés-Indians,L5,41.4233994,2.1812721
Cornellà Centre,L5,41.3573172,2.0705812
Cornellà-Riera,L8,41.3514554,2.0706552
Cèntric,L9 Sud,41.3218331,2.0935486
Diagonal,L3,41.3959655,2.1599778
Diagonal,L5,41.3944807,2.1588438
Drassanes,L3,41.3766656,2.1757948
Ecoparc,L10 Sud,41.33016,2.1371535
El Coll | La Teixonera,L5,41.4216038,2.1493364
El Maresme | Fòrum,L4,41.4117642,2.2166942
El Prat Estació,L9 Sud,41.3316589,2.0901091
Encants,L2,41.4071229,2.182515
Entença,L5,41.3840285,2.1449924
Ernest Lluch,L5,41.3759207,2.1120358
Església Major,L9 Nord,41.4547597,2.2123174
Espanya,L1,41.3756112,2.1495769
Espanya,L3,41.3749934,2.151522
Europa | Fira,L8,41.3571939,2.1250972
Europa | Fira,L9 Sud,41.357496,2.1259997
Fabra i Puig,L1,41.4297355,2.1836441
Fira,L9 Sud,41.3518438,2.1305591
Florida,L1,41.3683466,2.1098311
Foc,L10 Sud,41.3558811,2.1422762
Fondo (L1),L1,41.4516109,2.2184205
Fondo (L9),L9 Nord,41.4517473,2.2186118
Foneria,L10 Sud,41.3605014,2.1387683
Fontana,L3,41.4020532,2.1530109
Gavarra,L5,41.3579948,2.0792108
Girona,L4,41.3950328,2.1709238
Glòries,L1,41.4022142,2.1874781
Gorg,L10 Nord,41.4404836,2.2337689
Gorg,L2,41.4404732,2.2337219
Gornal,L8,41.3549783,2.1170934
Gràcia,L6,41.3992091,2.1524876
Gràcia,L7,41.3991736,2.1524262
Gràcia,S1,41.3992274,2.1525153
Gràcia,S2,41.3992091,2.1524876
Gràcia,Unknown,41.3992274,2.1525153
Guinardó | Hospital de Sant Pau,L4,41.4160989,2.1740484
Horta,L5,41.4296386,2.1602387
Hospital Clínic,L5,41.3886206,2.1510512
Hospital General,S1,41.4762687,2.0463723
Hospital General,Unknown,41.4762687,2.0463723
Hospital de Bellvitge,L1,41.3446673,2.1071814
Hostafrancs,L1,41.3752634,2.1431937
Ildefons Cerdà,L8,41.360774,2.1297902
Jaume I,L4,41.3840029,2.1786463
Joanic,L4,41.4063608,2.1631707
La Pau,L2,41.4239391,2.2056446
La Pau,L4,41.4236223,2.2053049
La Sagrera (L1),L1,41.4226197,2.1869981
La Sagrera (L5),L5,41.4212792,2.1865289
La Sagrera (L9N-L10N),L10 Nord,41.4204101,2.186811
La Sagrera (L9N-L10N),L9 Nord,41.4204101,2.186811
Les Fonts,S1,41.5287341,2.0334657
Les Moreres,L9 Sud,41.3290207,2.1031683
Lesseps,L3,41.4061866,2.1500277
Liceu,L3,41.3814032,2.1730874
Llacuna,L4,41.3993689,2.1976647
Llefià,L10 Nord,41.4415288,2.2173714
Llucmajor-República,L4,41.4370176,2.1733425
Magòria - la Campana,L8,41.3678433,2.1393721
Maragall,L4,41.4230911,2.1773673
Maragall,L5,41.4250024,2.1764701
Maria Cristina,L3,41.3879205,2.1262318
Marina,L1,41.3950651,2.1862442
Mas Blau,L9 Sud,41.3112986,2.0734095
Mercabarna,L9 Sud,41.3335424,2.1112432
Mercat Nou,L1,41.3728241,2.1332717
Mira-sol,S1,41.469459,2.0609799
Mira-sol,Unknown,41.469459,2.0609799
Molí Nou | Ciutat Cooperativa,L8,41.3575096,2.0352227
Montbau,L3,41.429544,2.1445668
Monumental,L2,41.4002844,2.1795937
Mundet,L3,41.435556,2.1484599
Muntaner,L6,41.398649,2.1428285
Muntaner,S1,41.3986855,2.1427908
Muntaner,S2,41.398649,2.1428285
Muntaner,Unknown,41.3986855,2.1427908
Navas,L1,41.4160424,2.1869165
Onze de Setembre,L10 Nord,41.4296994,2.1933991
Onze de Setembre,L9 Nord,41.4296994,2.1933991
Palau Reial,L3,41.3857929,2.1178611
Paral·lel,L2,41.375013,2.169255
Paral·lel,L3,41.3748697,2.1692493
Parc Logístic,L9 Sud,41.3418426,2.128031
Parc Nou,L9 Sud,41.316717,2.0874092
Passeig de Gràcia (L2),L2,41.3893375,2.1684021
Passeig de Gràcia (L3),L3,41.3916049,2.1653709
Passeig de Gràcia (L4),L4,41.3899486,2.1679219
Penitents,L3,41.4178915,2.1410504
Pep Ventura,L2,41.4439346,2.2379945
Peu del Funicular,S1,41.409073,2.1113891
Peu del Funicular,S2,41.4090447,2.1113512
Plaça Espanya,L8,41.3744634,2.1484354
Plaça Molina,L7,41.4013198,2.1474244
Plaça de Catalunya (FGC),L6,41.3856661,2.1683855
Plaça de Catalunya (FGC),L7,41.385742,2.1683986
Plaça de Catalunya (FGC),S1,41.3859262,2.1684059
Plaça de Catalunya (FGC),S2,41.3858518,2.168391
