station_name,line,lat,lon
Abrantes,L11,40.3810235,-3.728019
Acacias,L5,40.4040804,-3.7058891
Aeropuerto T1-T2-T3,L8,40.4677924,-3.5717481
Aeropuerto T4,L8,40.4923988,-3.592969
Alcorcón Central,L12,40.3500841,-3.8315104
Alfonso XIII,L4,40.4482416,-3.667886
Almendrales,L3,40.3841063,-3.6981966
Alonso Cano,L7,40.4384252,-3.6992688
Alonso Martínez,L10,40.4283397,-3.696593
Alonso Martínez,L4,40.4277017,-3.6960538
Alonso Martínez,L5,40.4275256,-3.6958451
Alonso de Mendoza,L12,40.3001356,-3.7370745
Alsacia,L2,40.4182259,-3.6237973
Alto de Extremadura,L6,40.4100779,-3.7380802
Alto del Arenal,L1,40.3900182,-3.6458264
Aluche,L5,40.3856318,-3.7608684
Alvarado,L1,40.4500926,-3.7035365
Antonio Machado,L7,40.4702219,-3.717747
Antón Martín,L1,40.4122762,-3.6990937
Arganzuela-Planetario,L6,40.393356,-3.6880541
Argüelles,L3,40.4311088,-3.7166268
Argüelles,L4,40.4305848,-3.7155061
Argüelles,L6,40.4306128,-3.7162913
Arroyo Culebro,L12,40.288658,-3.7567291
Arroyofresno,L7,40.4904098,-3.7259012
Artilleros,L9,40.4052454,-3.6418821
Arturo Soria,L4,40.4559672,-3.6562049
Ascao,L7,40.4303054,-3.6404695
Atocha,L1,40.4069495,-3.6885928
Avenida de América,L4,40.4380019,-3.6780901
Avenida de América,L6,40.4377822,-3.6781834
Avenida de América,L7,40.4374191,-3.6791451
Avenida de América,L9,40.4381379,-3.6791166
Avenida de Guadalajara,L2,40.4224579,-3.6121571
Avenida de la Ilustración,L7,40.4800289,-3.7183484
Avenida de la Paz,L4,40.452884,-3.6626968
Aviación Española,L10,40.3837639,-3.7840558
Bambú,L1,40.4769838,-3.6766574
Banco de España,L2,40.4190434,-3.6949231
Barajas,L8,40.4762898,-3.5834408
Barrio de la Concepción,L7,40.439435,-3.6527745
Barrio del Pilar,L9,40.4770051,-3.7036138
Barrio del Puerto,L7,40.422531,-3.5691514
Batán,L10,40.4078483,-3.7531252
Baunatal,L10,40.554566,-3.6356997
Begoña,L10,40.4826494,-3.6865672
Bilbao,L1,40.4297968,-3.7010239
Bilbao,L4,40.4287656,-3.7006772
Buenos Aires,L1,40.3915983,-3.6538731
Callao,L3,40.420368,-3.7061668
Callao,L5,40.4201896,-3.7058098
Campamento,L5,40.3946802,-3.7683228
Canal,L2,40.4391564,-3.7042949
Canal,L7,40.4386738,-3.7045235
Canillas,L4,40.4637641,-3.6354826
Canillejas,L5,40.4490963,-3.6085703
Carabanchel,L5,40.3878022,-3.7449591
Carabanchel Alto,L11,40.3719031,-3.75202
Carpetana,L6,40.3929391,-3.7409644
Cartagena,L7,40.4394199,-3.6719077
Casa de Campo,L10,40.4036173,-3.7609688
Casa del Reloj,L12,40.3266283,-3.7594465
