station_name,line,lat,lon
Abando,L1,43.2613582,-2.9274943
Abando,L2,43.2613856,-2.9274803
Abatxolo,L2,43.3141804,-3.0134586
Aiboa,L1,43.3438559,-3.0027931
Algorta,L1,43.3503905,-3.0093921
Ansio,L2,43.2890924,-2.9871924
Areeta,L1,43.3260114,-3.0097592
Ariz,L2,43.2380228,-2.8819958
Astrabudua,L1,43.3143199,-2.9863699
Bagatza,L2,43.2989079,-2.9926663
Barakaldo,L2,43.2955931,-2.9892891
Basarrate,L1,43.2511062,-2.910727
Basarrate,L2,43.2511212,-2.910687
Basauri,L2,43.2362055,-2.8934695
Berango,L1,43.3668532,-2.9996302
Bidezabal,L1,43.35643,-3.011289
Bolueta,L1,43.246989,-2.9057446
Bolueta,L2,43.2470142,-2.9057196
Deustu,L1,43.271292,-2.9495847
Deustu,L2,43.2713809,-2.9495586
Erandio,L1,43.3034648,-2.9743762
Etxebarri,L1,43.2438591,-2.8977539
Etxebarri,L2,43.2438908,-2.8977485
Gobela,L1,43.3330682,-3.0074047
Gurutzeta,L2,43.2830525,-2.9824352
Ibarbengoa,L1,43.3633109,-3.007039
Indautxu,L1,43.2612214,-2.9415946
Indautxu,L2,43.2612485,-2.9415767
Kabiezes,L2,43.322165,-3.0376171
Kukullaga,L3,43.2511399,-2.8896898
Lamiako,L1,43.3214214,-3.0013293
Larrabasterra,L1,43.3756107,-2.9915757
Leioa,L1,43.3180177,-2.9919119
Lutxana,L1,43.2909857,-2.969937
Matiko,L3,43.269014,-2.9254617
Moyua,L1,43.262571,-2.9330517
Moyua,L2,43.2625953,-2.9330239
Neguri,L1,43.3402453,-3.0055466
Otxarkoaga,L3,43.2586724,-2.8986873
Peñota,L2,43.3219448,-3.0253276
Plentzia,L1,43.4013122,-2.9463776
Portugalete,L2,43.3177236,-3.0207991
San Ignazio,L1,43.2807639,-2.9625473
San Ignazio,L2,43.2808053,-2.9624022
Santimami,L1,43.2624945,-2.9474081
Santimami,L2,43.262523,-2.9474001
Santurtzi,L2,43.3288345,-3.0342468
Santutxu,L1,43.2543486,-2.9133353
Santutxu,L2,43.25436,-2.913296
Sarriko,L1,43.274859,-2.9586164
Sarriko,L2,43.2748766,-2.958582
Sestao,L2,43.3091538,-3.0055792
Sopela,L1,43.3801496,-2.9791517
Txurdinaga,L3,43.259103,-2.9063861
Urbinaga,L2,43.3057445,-2.9926019
Urduliz,L1,43.3790351,-2.958169
Uribarri,L3,43.2668495,-2.9200094
Zazpikaleak,L1,43.2596365,-2.9207685
Zazpikaleak,L2,43.2596641,-2.920751
Zazpikaleak,L3,43.2602381,-2.9218583
Zurbaranbarri,L3,43.2637469,-2.9136356
